input	ost_ilddt	ost_qs_global	ost_qs_best	ost_ics	ost_ips	ost_dockq_ave
T0272s3TS450_4o__T0272s3TS450_2o	0.1	0.049	0.067	0.029	0.291	0.029
T0272s4TS059_4o__T0272s4TS059_5o	0.87	0.875	0.875	0.883	0.947	0.46
T0272s4TS059_4o__T0272s4TS450_2o	0.258	0.341	0.737	0.415	0.667	0.354
T0272s4TS059_4o__T0272s4TS450_4o	0.174	0.134	0.134	0.08	0.972	0.069
T0272s4TS059_5o__T0272s4TS059_4o	0.895	0.875	0.875	0.883	0.947	0.483
T0272s4TS059_5o__T0272s4TS450_2o	0.278	0.361	0.812	0.439	0.675	0.403
T0272s4TS059_5o__T0272s4TS450_4o	0.198	0.146	0.146	0.098	0.934	0.078
T0272s4TS450_3o__T0272s4TS059_4o	0.652	0.288	0.692	0.363	0.495	0.292
T0272s4TS450_3o__T0272s4TS059_5o	0.689	0.314	0.756	0.4	0.515	0.316
T0272s4TS450_3o__T0272s4TS450_2o	0.619	0.152	0.874	0.2	0.362	0.373
T0272s4TS450_3o__T0272s4TS450_4o	0.18	0.067	0.132	0.045	0.5	0.07
T0272s4TS450_4o__T0272s4TS059_4o	0.175	0.134	0.134	0.08	0.972	0.068
T0272s4TS450_4o__T0272s4TS059_5o	0.193	0.146	0.146	0.098	0.934	0.075
T0272s4TS450_4o__T0272s4TS450_2o	0.069	0.067	0.118	0.038	0.678	0.065
T0272s5TS059_4o__T0272s5TS059_5o	0.848	0.85	0.85	0.877	0.938	0.356
T0272s5TS059_4o__T0272s5TS450_4o	0.155	0.065	0.103	0.034	0.447	0.074
T0272s5TS059_5o__T0272s5TS059_4o	0.884	0.85	0.85	0.877	0.938	0.377
T0272s5TS059_5o__T0272s5TS450_4o	0.169	0.081	0.13	0.045	0.443	0.077
T0272s5TS450_3o__T0272s5TS059_4o	0.167	0.058	0.118	0.027	0.517	0.069
T0272s5TS450_3o__T0272s5TS059_5o	0.171	0.068	0.139	0.037	0.51	0.062
T0272s5TS450_3o__T0272s5TS450_4o	0.898	0.149	0.896	0.237	0.244	0.505
T0272s8TS059_1o__T0272s8TS059_3o	0.099	0.079	0.093	0.057	0.24	0.05
T0272s8TS059_1o__T0272s8TS059_4o	0.069	0.064	0.074	0.052	0.234	0.024
T0272s8TS059_1o__T0272s8TS059_5o	0.077	0.055	0.061	0.036	0.217	0.025
T0272s8TS059_1o__T0272s8TS139_1o	1.0	1.0	1.0	1.0	1.0	1.0
T0272s8TS059_1o__T0272s8TS388_1o	0.701	0.862	0.862	0.758	0.746	0.72
T0272s8TS059_1o__T0272s8TS388_4o	0.058	0.042	0.047	0.032	0.229	0.021
T0272s8TS059_1o__T0272s8TS388_5o	0.029	0.053	0.056	0.033	0.223	0.037
T0272s8TS059_2o__T0272s8TS059_1o	0.061	0.066	0.066	0.052	0.267	0.019
T0272s8TS059_2o__T0272s8TS059_3o	0.143	0.166	0.177	0.189	0.357	0.06
T0272s8TS059_2o__T0272s8TS059_4o	0.149	0.151	0.16	0.17	0.313	0.054
T0272s8TS059_2o__T0272s8TS388_2o	0.715	0.886	0.886	0.801	0.8	0.707
T0272s8TS059_2o__T0272s8TS388_3o	0.134	0.148	0.157	0.154	0.395	0.06
T0272s8TS059_2o__T0272s8TS388_4o	0.12	0.108	0.113	0.118	0.33	0.049
T0272s8TS059_3o__T0272s8TS059_1o	0.099	0.079	0.093	0.057	0.24	0.048
T0272s8TS059_3o__T0272s8TS059_4o	0.234	0.214	0.214	0.27	0.381	0.096
T0272s8TS059_3o__T0272s8TS059_5o	0.195	0.156	0.156	0.158	0.363	0.094
T0272s8TS059_3o__T0272s8TS139_1o	0.099	0.079	0.093	0.057	0.24	0.048
T0272s8TS059_3o__T0272s8TS388_1o	0.14	0.099	0.115	0.086	0.293	0.06
T0272s8TS059_4o__T0272s8TS059_1o	0.071	0.064	0.074	0.052	0.234	0.023
T0272s8TS059_4o__T0272s8TS059_2o	0.173	0.151	0.16	0.17	0.313	0.077
T0272s8TS059_4o__T0272s8TS059_3o	0.237	0.214	0.214	0.27	0.381	0.102
T0272s8TS059_4o__T0272s8TS059_5o	0.164	0.128	0.128	0.14	0.34	0.079
T0272s8TS059_4o__T0272s8TS139_1o	0.071	0.064	0.074	0.052	0.234	0.023
T0272s8TS059_4o__T0272s8TS388_1o	0.107	0.084	0.096	0.084	0.276	0.036
T0272s8TS059_4o__T0272s8TS388_2o	0.179	0.132	0.138	0.154	0.306	0.074
T0272s8TS059_4o__T0272s8TS388_3o	0.183	0.218	0.218	0.248	0.4	0.116
T0272s8TS059_4o__T0272s8TS388_4o	0.529	0.68	0.68	0.544	0.743	0.673
T0272s8TS059_5o__T0272s8TS059_1o	0.056	0.055	0.061	0.036	0.217	0.02
T0272s8TS059_5o__T0272s8TS059_4o	0.117	0.128	0.128	0.14	0.34	0.055
T0272s8TS059_5o__T0272s8TS139_1o	0.056	0.055	0.061	0.036	0.217	0.02
T0272s8TS059_5o__T0272s8TS388_3o	0.127	0.166	0.166	0.16	0.405	0.081
T0272s8TS059_5o__T0272s8TS388_5o	0.181	0.72	0.72	0.518	0.673	0.676
T0272s8TS139_1o__T0272s8TS059_1o	1.0	1.0	1.0	1.0	1.0	1.0
T0272s8TS139_1o__T0272s8TS059_3o	0.099	0.079	0.093	0.057	0.24	0.05
T0272s8TS139_1o__T0272s8TS059_4o	0.069	0.064	0.074	0.052	0.234	0.024
T0272s8TS139_1o__T0272s8TS059_5o	0.077	0.055	0.061	0.036	0.217	0.025
T0272s8TS139_1o__T0272s8TS388_1o	0.701	0.862	0.862	0.758	0.746	0.72
T0272s8TS139_1o__T0272s8TS388_2o	0.069	0.056	0.056	0.047	0.266	0.026
T0272s8TS139_1o__T0272s8TS388_3o	0.073	0.076	0.087	0.053	0.237	0.054
T0272s8TS139_1o__T0272s8TS388_5o	0.029	0.053	0.056	0.033	0.223	0.037
T0272s8TS388_1o__T0272s8TS059_1o	0.665	0.862	0.862	0.758	0.746	0.689
T0272s8TS388_1o__T0272s8TS059_2o	0.085	0.095	0.095	0.087	0.296	0.038
T0272s8TS388_1o__T0272s8TS059_3o	0.121	0.099	0.115	0.086	0.293	0.058
T0272s8TS388_1o__T0272s8TS059_4o	0.087	0.084	0.096	0.084	0.276	0.032
T0272s8TS388_1o__T0272s8TS059_5o	0.091	0.07	0.078	0.062	0.243	0.036
T0272s8TS388_1o__T0272s8TS388_3o	0.085	0.096	0.108	0.08	0.286	0.063
T0272s8TS388_1o__T0272s8TS388_4o	0.076	0.056	0.062	0.051	0.276	0.027
T0272s8TS388_1o__T0272s8TS388_5o	0.033	0.067	0.072	0.049	0.257	0.047
T0272s8TS388_2o__T0272s8TS059_1o	0.059	0.056	0.056	0.047	0.266	0.017
T0272s8TS388_2o__T0272s8TS059_3o	0.13	0.143	0.15	0.155	0.354	0.048
T0272s8TS388_2o__T0272s8TS059_4o	0.138	0.132	0.138	0.154	0.306	0.048
T0272s8TS388_2o__T0272s8TS139_1o	0.059	0.056	0.056	0.047	0.266	0.017
T0272s8TS388_2o__T0272s8TS388_1o	0.089	0.082	0.082	0.081	0.294	0.028
T0272s8TS388_2o__T0272s8TS388_3o	0.117	0.13	0.135	0.14	0.404	0.053
T0272s8TS388_2o__T0272s8TS388_4o	0.117	0.098	0.102	0.111	0.325	0.045
T0272s8TS388_2o__T0272s8TS388_5o	0.045	0.109	0.112	0.095	0.333	0.063
T0272s8TS388_3o__T0272s8TS059_1o	0.099	0.076	0.087	0.053	0.237	0.044
T0272s8TS388_3o__T0272s8TS059_2o	0.207	0.148	0.157	0.154	0.395	0.054
T0272s8TS388_3o__T0272s8TS059_3o	0.662	0.799	0.799	0.622	0.703	0.666
T0272s8TS388_3o__T0272s8TS059_4o	0.262	0.218	0.218	0.248	0.4	0.074
T0272s8TS388_3o__T0272s8TS059_5o	0.236	0.166	0.166	0.16	0.405	0.077
T0272s8TS388_3o__T0272s8TS139_1o	0.099	0.076	0.087	0.053	0.237	0.044
T0272s8TS388_3o__T0272s8TS388_1o	0.139	0.096	0.108	0.08	0.286	0.052
T0272s8TS388_3o__T0272s8TS388_4o	0.243	0.161	0.161	0.18	0.451	0.068
T0272s8TS388_3o__T0272s8TS388_5o	0.098	0.169	0.169	0.135	0.436	0.099
T0272s8TS388_4o__T0272s8TS059_1o	0.082	0.042	0.047	0.032	0.229	0.013
T0272s8TS388_4o__T0272s8TS059_4o	0.718	0.68	0.68	0.544	0.743	0.575
T0272s8TS388_4o__T0272s8TS059_5o	0.178	0.099	0.099	0.102	0.354	0.044
T0272s8TS388_4o__T0272s8TS388_1o	0.126	0.056	0.062	0.051	0.276	0.019
T0272s8TS388_4o__T0272s8TS388_2o	0.193	0.098	0.102	0.111	0.325	0.041
T0272s8TS388_4o__T0272s8TS388_3o	0.225	0.161	0.161	0.18	0.451	0.065
T0272s8TS388_4o__T0272s8TS388_5o	0.069	0.101	0.101	0.085	0.34	0.056
T0272s8TS388_5o__T0272s8TS059_1o	0.058	0.053	0.056	0.033	0.223	0.017
T0272s8TS388_5o__T0272s8TS059_2o	0.137	0.119	0.122	0.106	0.333	0.037
T0272s8TS388_5o__T0272s8TS059_3o	0.151	0.154	0.154	0.12	0.362	0.051
T0272s8TS388_5o__T0272s8TS059_4o	0.125	0.123	0.123	0.101	0.323	0.037
T0272s8TS388_5o__T0272s8TS059_5o	0.526	0.72	0.72	0.518	0.673	0.533
T0272s8TS388_5o__T0272s8TS139_1o	0.058	0.053	0.056	0.033	0.223	0.017
T0272s8TS388_5o__T0272s8TS388_1o	0.075	0.067	0.072	0.049	0.257	0.022
T0272s8TS388_5o__T0272s8TS388_2o	0.116	0.109	0.112	0.095	0.333	0.034
T0272s8TS388_5o__T0272s8TS388_3o	0.151	0.169	0.169	0.135	0.436	0.06
T0272s8TS388_5o__T0272s8TS388_4o	0.105	0.101	0.101	0.085	0.34	0.036
T0272s8TS450_3o__T0272s8TS059_1o	0.007	0.004	0.007	0.0	0.175	0.003
T0272s8TS450_3o__T0272s8TS059_2o	0.033	0.023	0.045	0.009	0.21	0.012
T0272s8TS450_3o__T0272s8TS059_3o	0.013	0.012	0.024	0.007	0.202	0.012
T0272s8TS450_3o__T0272s8TS059_4o	0.021	0.021	0.045	0.011	0.176	0.012
T0272s8TS450_3o__T0272s8TS059_5o	0.015	0.011	0.026	0.007	0.168	0.016
T0272s8TS450_3o__T0272s8TS139_1o	0.007	0.004	0.007	0.0	0.175	0.003
T0272s8TS450_3o__T0272s8TS388_1o	0.012	0.006	0.012	0.01	0.188	0.009
T0272s8TS450_3o__T0272s8TS388_2o	0.036	0.023	0.045	0.008	0.215	0.012
T0272s8TS450_3o__T0272s8TS388_4o	0.014	0.021	0.05	0.005	0.167	0.011
T0272s8TS450_3o__T0272s8TS388_5o	0.006	0.009	0.027	0.006	0.163	0.02
T0272s9TS059_1o__T0272s9TS059_2o	0.0	0.0	0.0	0.0	0.015	0.011
T0272s9TS059_1o__T0272s9TS388_4o	0.701	0.894	0.894	0.696	0.667	0.761
T0272s9TS059_1o__T0272s9TS388_5o	0.0	0.0	0.0	0.0	0.0	0.011
T0272s9TS059_1o__T0272s9TS450_2o	0.0	0.0	0.0	0.0	0.043	0.004
T0272s9TS059_1o__T0272s9TS450_3o	0.036	0.042	0.042	0.016	0.295	0.011
T0272s9TS059_1o__T0272s9TS450_4o	0.198	0.123	0.248	0.078	0.302	0.111
T0272s9TS059_2o__T0272s9TS059_1o	0.0	0.0	0.0	0.0	0.015	0.01
T0272s9TS059_2o__T0272s9TS388_4o	0.0	0.0	0.0	0.0	0.007	0.01
T0272s9TS059_2o__T0272s9TS388_5o	0.741	0.896	0.896	0.748	0.841	0.744
T0272s9TS059_2o__T0272s9TS450_2o	0.049	0.008	0.033	0.0	0.085	0.006
T0272s9TS059_2o__T0272s9TS450_3o	0.0	0.0	0.0	0.0	0.034	0.005
T0272s9TS059_2o__T0272s9TS450_4o	0.001	0.0	0.0	0.0	0.009	0.011
T0272s9TS388_4o__T0272s9TS059_1o	0.678	0.894	0.894	0.696	0.667	0.752
T0272s9TS388_4o__T0272s9TS059_2o	0.0	0.0	0.0	0.0	0.007	0.011
T0272s9TS388_4o__T0272s9TS388_5o	0.0	0.0	0.0	0.0	0.0	0.011
T0272s9TS388_4o__T0272s9TS450_2o	0.0	0.0	0.0	0.0	0.058	0.004
T0272s9TS388_4o__T0272s9TS450_3o	0.035	0.041	0.041	0.016	0.26	0.011
T0272s9TS388_4o__T0272s9TS450_4o	0.201	0.131	0.263	0.095	0.32	0.118
T0272s9TS388_5o__T0272s9TS059_1o	0.0	0.0	0.0	0.0	0.0	0.01
T0272s9TS388_5o__T0272s9TS059_2o	0.752	0.896	0.896	0.748	0.841	0.792
T0272s9TS388_5o__T0272s9TS388_4o	0.0	0.0	0.0	0.0	0.0	0.01
T0272s9TS388_5o__T0272s9TS450_2o	0.048	0.006	0.03	0.0	0.075	0.006
T0272s9TS388_5o__T0272s9TS450_3o	0.0	0.0	0.0	0.0	0.035	0.005
T0272s9TS388_5o__T0272s9TS450_4o	0.001	0.0	0.0	0.0	0.0	0.011
T0272s9TS450_3o__T0272s9TS059_1o	0.037	0.042	0.042	0.016	0.295	0.012
T0272s9TS450_3o__T0272s9TS059_2o	0.0	0.0	0.0	0.0	0.034	0.005
T0272s9TS450_3o__T0272s9TS388_4o	0.038	0.041	0.041	0.016	0.26	0.012
T0272s9TS450_3o__T0272s9TS388_5o	0.0	0.0	0.0	0.0	0.035	0.005
T0272s9TS450_3o__T0272s9TS450_2o	0.003	0.0	0.0	0.0	0.062	0.011
T0272s9TS450_3o__T0272s9TS450_4o	0.051	0.044	0.104	0.009	0.236	0.011
T0272s9TS450_4o__T0272s9TS450_2o	0.0	0.0	0.0	0.0	0.082	0.005
T1201TS014_5o__T1201TS290_5o	0.676	0.721	0.721	0.763	0.744	0.362
T1201TS014_5o__T1201TS456_5o	0.543	0.623	0.865	0.694	0.638	0.577
T1201TS015_2o__T1201TS264_2o	0.842	0.692	0.692	0.713	0.685	0.345
T1201TS015_6o__T1201TS267_4o	0.304	0.135	0.135	0.243	0.394	0.092
T1201TS049_4o__T1201TS022_2o	0.904	0.983	0.983	0.929	0.879	0.932
T1201TS049_5o__T1201TS261_1o	0.802	0.533	0.533	0.6	0.567	0.427
T1201TS051_1o__T1201TS052_1o	0.548	0.651	0.651	0.704	0.694	0.267
T1201TS051_1o__T1201TS397_2o	0.581	0.649	0.649	0.696	0.673	0.257
T1201TS052_1o__T1201TS114_5o	0.026	0.008	0.008	0.0	0.153	0.02
T1201TS052_1o__T1201TS293_2o	0.892	0.889	0.889	0.857	0.816	0.419
T1201TS052_2o__T1201TS075_3o	0.383	0.282	0.282	0.462	0.409	0.176
T1201TS052_2o__T1201TS462_6o	0.839	0.631	0.85	0.704	0.678	0.71
T1201TS059_4o__T1201TS139_1o	0.635	0.312	0.312	0.364	0.297	0.24
T1201TS075_4o__T1201TS139_2o	0.002	0.0	0.0	0.0	0.185	0.007
T1201TS091_1o__T1201TS163_3o	0.812	0.902	0.902	0.873	0.858	0.378
T1201TS091_2o__T1201TS139_4o	0.22	0.222	0.222	0.292	0.255	0.092
T1201TS110_2o__T1201TS014_5o	0.805	0.86	0.86	0.83	0.815	0.729
T1201TS114_4o__T1201TS262_2o	0.03	0.008	0.008	0.0	0.166	0.016
T1201TS114_5o__T1201TS358_4o	0.032	0.007	0.007	0.0	0.162	0.019
T1201TS117_3o__T1201TS311_5o	0.509	0.54	0.54	0.542	0.54	0.221
T1201TS117_3o__T1201TS475_5o	0.0	0.0	0.0	0.0	0.0	0.014
T1201TS122_3o__T1201TS110_3o	0.843	0.943	0.943	0.899	0.873	0.492
T1201TS122_5o__T1201TS272_1o	0.0	0.0	0.0	0.0	0.223	0.007
T1201TS139_1o__T1201TS322_4o	0.224	0.244	0.244	0.335	0.278	0.128
T1201TS145_1o__T1201TS267_5o	0.88	0.896	0.896	0.864	0.851	0.444
T1201TS147_4o__T1201TS219_3o	0.523	0.535	0.535	0.647	0.609	0.309
T1201TS148_5o__T1201TS148_2o	0.48	0.503	0.503	0.508	0.453	0.218
T1201TS164_2o__T1201TS397_5o	0.821	0.716	0.716	0.74	0.747	0.375
T1201TS164_2o__T1201TS489_5o	0.472	0.392	0.392	0.436	0.463	0.178
T1201TS167_1o__T1201TS311_1o	0.802	0.863	0.863	0.883	0.779	0.376
T1201TS167_1o__T1201TS494_2o	0.303	0.184	0.184	0.273	0.281	0.114
T1201TS167_5o__T1201TS286_4o	0.882	0.966	0.966	0.915	0.9	0.814
T1201TS174_1o__T1201TS337_4o	0.012	0.002	0.002	0.0	0.097	0.014
T1201TS196_2o__T1201TS298_2o	0.844	0.921	0.921	0.888	0.871	0.5
T1201TS196_4o__T1201TS393_1o	0.793	0.71	0.71	0.686	0.655	0.353
T1201TS196_5o__T1201TS425_3o	0.942	0.985	0.985	0.93	0.921	0.862
T1201TS204_1o__T1201TS122_5o	0.76	0.849	0.849	0.83	0.788	0.33
T1201TS204_1o__T1201TS358_2o	0.618	0.691	0.691	0.691	0.79	0.38
T1201TS204_5o__T1201TS049_1o	0.629	0.267	0.267	0.475	0.407	0.219
T1201TS219_2o__T1201TS319_4o	0.856	0.826	0.826	0.791	0.753	0.418
T1201TS221_1o__T1201TS196_2o	0.869	0.88	0.88	0.826	0.809	0.407
T1201TS221_5o__T1201TS322_4o	0.275	0.249	0.249	0.427	0.336	0.155
T1201TS241_2o__T1201TS117_1o	0.573	0.647	0.647	0.629	0.667	0.354
T1201TS241_5o__T1201TS475_4o	0.012	0.007	0.007	0.0	0.317	0.011
T1201TS261_1o__T1201TS145_5o	0.556	0.566	0.566	0.622	0.594	0.3
T1201TS261_2o__T1201TS319_4o	0.601	0.626	0.626	0.667	0.626	0.388
T1201TS267_3o__T1201TS393_1o	0.78	0.708	0.708	0.675	0.678	0.345
T1201TS271_1o__T1201TS425_4o	0.87	0.907	0.907	0.894	0.858	0.596
T1201TS271_3o__T1201TS221_4o	0.859	0.862	0.862	0.88	0.837	0.604
T1201TS272_3o__T1201TS174_2o	0.746	0.834	0.834	0.779	0.79	0.542
T1201TS284_5o__T1201TS271_4o	0.875	0.947	0.947	0.888	0.892	0.643
T1201TS287_2o__T1201TS014_2o	0.796	0.919	0.919	0.834	0.824	0.711
T1201TS287_4o__T1201TS091_1o	0.826	0.935	0.935	0.828	0.854	0.638
T1201TS287_5o__T1201TS358_3o	0.635	0.651	0.651	0.668	0.734	0.4
T1201TS290_1o__T1201TS419_3o	0.765	0.841	0.841	0.794	0.76	0.52
T1201TS290_3o__T1201TS139_3o	0.296	0.285	0.285	0.408	0.325	0.138
T1201TS290_3o__T1201TS261_4o	0.804	0.575	0.575	0.655	0.592	0.464
T1201TS290_5o__T1201TS051_1o	0.781	0.75	0.75	0.776	0.731	0.483
T1201TS290_5o__T1201TS198_3o	0.77	0.853	0.853	0.828	0.797	0.342
T1201TS293_1o__T1201TS075_3o	0.393	0.279	0.279	0.502	0.418	0.181
T1201TS293_2o__T1201TS337_2o	0.009	0.0	0.0	0.0	0.117	0.014
T1201TS293_2o__T1201TS462_5o	0.813	0.833	0.833	0.825	0.775	0.61
T1201TS294_1o__T1201TS286_1o	0.604	0.677	0.677	0.706	0.638	0.256
T1201TS294_2o__T1201TS015_6o	0.255	0.114	0.114	0.205	0.343	0.107
T1201TS294_5o__T1201TS079_3o	0.772	0.902	0.902	0.886	0.896	0.42
T1201TS298_5o__T1201TS393_5o	0.906	0.93	0.93	0.877	0.844	0.545
T1201TS300_5o__T1201TS075_3o	0.01	0.0	0.0	0.0	0.066	0.014
T1201TS301_2o__T1201TS148_1o	0.831	0.924	0.924	0.864	0.85	0.776
T1201TS301_5o__T1201TS284_3o	0.715	0.861	0.861	0.788	0.769	0.583
T1201TS311_3o__T1201TS274_3o	0.295	0.174	0.174	0.265	0.282	0.104
T1201TS311_5o__T1201TS079_2o	0.9	0.927	0.927	0.862	0.847	0.478
T1201TS311_5o__T1201TS311_1o	0.939	0.965	0.965	0.928	0.91	0.681
T1201TS319_5o__T1201TS147_3o	0.377	0.322	0.322	0.452	0.536	0.14
T1201TS322_3o__T1201TS015_3o	0.783	0.65	0.65	0.703	0.667	0.276
T1201TS331_3o__T1201TS167_5o	0.584	0.646	0.646	0.688	0.667	0.264
T1201TS331_5o__T1201TS196_2o	0.665	0.755	0.755	0.753	0.74	0.401
T1201TS331_5o__T1201TS196_4o	0.583	0.643	0.643	0.691	0.624	0.262
T1201TS345_3o__T1201TS122_4o	0.573	0.668	0.668	0.682	0.67	0.305
T1201TS358_4o__T1201TS293_3o	0.694	0.655	0.655	0.679	0.663	0.263
T1201TS369_3o__T1201TS145_3o	0.653	0.726	0.726	0.737	0.683	0.291
T1201TS369_3o__T1201TS419_1o	0.754	0.757	0.757	0.785	0.787	0.445
T1201TS369_5o__T1201TS272_1o	0.0	0.0	0.0	0.0	0.17	0.006
T1201TS369_6o__T1201TS272_5o	0.001	0.0	0.0	0.0	0.052	0.011
T1201TS393_2o__T1201TS164_4o	0.69	0.7	0.7	0.715	0.701	0.249
T1201TS419_3o__T1201TS221_2o	0.661	0.735	0.735	0.74	0.704	0.274
T1201TS419_4o__T1201TS091_2o	0.484	0.642	0.642	0.55	0.681	0.24
T1201TS423_3o__T1201TS022_2o	0.903	0.974	0.981	0.92	0.881	0.781
T1201TS425_5o__T1201TS262_5o	0.3	0.288	0.288	0.355	0.487	0.114
T1201TS456_1o__T1201TS272_2o	0.002	0.0	0.0	0.0	0.038	0.01
T1201TS456_2o__T1201TS311_3o	0.885	0.76	0.76	0.765	0.747	0.384
T1201TS456_3o__T1201TS284_3o	0.911	0.913	0.913	0.861	0.846	0.44
T1201TS462_1o__T1201TS015_1o	0.764	0.851	0.851	0.833	0.764	0.538
T1201TS462_2o__T1201TS122_3o	0.654	0.622	0.622	0.751	0.644	0.266
T1201TS462_6o__T1201TS148_2o	0.36	0.39	0.39	0.411	0.408	0.163
T1201TS465_3o__T1201TS322_1o	0.544	0.793	0.793	0.836	0.816	0.469
T1201TS475_3o__T1201TS139_2o	0.373	0.5	0.5	0.539	0.514	0.207
T1201TS475_5o__T1201TS322_2o	0.0	0.0	0.0	0.0	0.0	0.008
T1201TS489_4o__T1201TS393_1o	0.438	0.329	0.329	0.419	0.422	0.193
T1201TS489_5o__T1201TS079_4o	0.399	0.386	0.386	0.429	0.48	0.167
T1206TS014_1o__T1206TS393_2o	0.905	0.959	0.959	0.911	0.935	0.947
T1206TS015_4o__T1206TS187_1o	0.963	0.977	0.977	0.952	0.951	0.953
T1206TS028_1o__T1206TS022_4o	0.744	0.502	0.502	0.517	0.621	0.478
T1206TS051_3o__T1206TS293_1o	0.943	0.983	0.983	0.956	0.943	0.934
T1206TS051_6o__T1206TS298_5o	0.961	0.978	0.978	0.929	0.942	0.97
T1206TS059_6o__T1206TS267_4o	0.941	0.98	0.98	0.945	0.941	0.972
T1206TS075_5o__T1206TS345_5o	0.983	0.991	0.991	0.973	0.982	0.988
T1206TS085_3o__T1206TS241_1o	0.938	0.975	0.975	0.931	0.959	0.925
T1206TS085_5o__T1206TS322_4o	0.509	0.442	0.442	0.385	0.513	0.389
T1206TS114_5o__T1206TS122_5o	0.027	0.022	0.022	0.0	0.106	0.013
T1206TS117_2o__T1206TS075_3o	0.663	0.891	0.891	0.772	0.827	0.719
T1206TS117_3o__T1206TS079_5o	0.698	0.899	0.899	0.79	0.836	0.745
T1206TS122_1o__T1206TS286_2o	0.934	0.974	0.974	0.945	0.949	0.961
T1206TS139_3o__T1206TS085_2o	0.748	0.901	0.901	0.762	0.878	0.776
T1206TS139_6o__T1206TS287_1o	0.947	0.983	0.983	0.94	0.949	0.96
T1206TS145_3o__T1206TS204_5o	0.981	0.988	0.988	0.972	0.983	0.972
T1206TS145_4o__T1206TS300_1o	0.04	0.034	0.034	0.023	0.186	0.017
T1206TS147_1o__T1206TS397_1o	0.981	0.986	0.986	0.969	0.943	0.979
T1206TS147_1o__T1206TS462_3o	0.985	0.988	0.988	0.969	0.934	0.98
T1206TS147_2o__T1206TS219_3o	0.534	0.716	0.716	0.544	0.758	0.549
T1206TS147_2o__T1206TS369_2o	0.951	0.978	0.978	0.967	0.975	0.979
T1206TS148_3o__T1206TS114_4o	0.021	0.009	0.009	0.0	0.164	0.028
T1206TS148_4o__T1206TS267_4o	0.945	0.976	0.976	0.92	0.975	0.946
T1206TS164_3o__T1206TS171_4o	0.965	0.981	0.981	0.955	0.967	0.961
T1206TS164_3o__T1206TS267_1o	0.962	0.982	0.982	0.964	0.992	0.953
T1206TS164_4o__T1206TS267_2o	0.964	0.98	0.98	0.949	0.967	0.966
T1206TS164_5o__T1206TS290_3o	0.956	0.98	0.98	0.95	0.959	0.832
T1206TS167_2o__T1206TS337_1o	0.026	0.024	0.024	0.0	0.169	0.019
T1206TS167_3o__T1206TS489_5o	0.98	0.985	0.985	0.975	0.992	0.977
T1206TS196_4o__T1206TS085_3o	0.98	0.982	0.982	0.953	0.975	0.977
T1206TS198_3o__T1206TS191_2o	0.941	0.98	0.98	0.93	0.919	0.972
T1206TS198_5o__T1206TS051_1o	0.922	0.963	0.963	0.879	0.966	0.933
T1206TS204_1o__T1206TS164_5o	0.958	0.979	0.979	0.943	0.942	0.958
T1206TS219_2o__T1206TS198_2o	0.528	0.511	0.511	0.516	0.592	0.353
T1206TS219_4o__T1206TS286_4o	0.655	0.809	0.809	0.729	0.789	0.676
T1206TS221_2o__T1206TS028_5o	0.959	0.979	0.979	0.955	0.967	0.958
T1206TS221_5o__T1206TS014_4o	0.948	0.973	0.973	0.941	0.952	0.955
T1206TS221_5o__T1206TS475_2o	0.924	0.97	0.97	0.937	0.943	0.938
T1206TS241_2o__T1206TS494_5o	0.941	0.976	0.976	0.908	0.935	0.65
T1206TS241_3o__T1206TS075_3o	0.989	0.991	0.991	0.974	0.983	0.989
T1206TS241_3o__T1206TS311_3o	0.964	0.982	0.982	0.958	0.958	0.921
T1206TS262_5o__T1206TS286_1o	0.907	0.963	0.963	0.952	0.959	0.765
T1206TS267_1o__T1206TS051_2o	0.962	0.978	0.978	0.955	0.942	0.957
T1206TS267_2o__T1206TS286_3o	0.967	0.979	0.979	0.964	0.96	0.959
T1206TS267_5o__T1206TS311_5o	0.968	0.986	0.986	0.966	0.958	0.916
T1206TS272_3o__T1206TS139_4o	0.634	0.55	0.55	0.453	0.514	0.428
T1206TS274_1o__T1206TS139_3o	0.739	0.901	0.901	0.783	0.892	0.788
T1206TS274_4o__T1206TS345_4o	0.957	0.981	0.981	0.936	0.959	0.923
T1206TS284_2o__T1206TS462_2o	0.972	0.985	0.985	0.947	0.927	0.962
T1206TS286_3o__T1206TS300_2o	0.042	0.039	0.039	0.017	0.199	0.015
T1206TS287_2o__T1206TS022_5o	0.913	0.978	0.978	0.961	0.967	0.798
T1206TS287_3o__T1206TS059_4o	0.957	0.979	0.979	0.958	0.983	0.941
T1206TS293_4o__T1206TS312_5o	0.986	0.988	0.988	0.972	0.983	0.972
T1206TS294_2o__T1206TS419_1o	0.892	0.967	0.967	0.898	0.927	0.914
T1206TS294_5o__T1206TS393_1o	0.887	0.955	0.955	0.897	0.905	0.933
T1206TS298_3o__T1206TS110_1o	0.967	0.982	0.982	0.958	0.927	0.965
T1206TS298_3o__T1206TS462_1o	0.969	0.983	0.983	0.95	0.927	0.963
T1206TS300_5o__T1206TS051_1o	0.039	0.034	0.034	0.006	0.184	0.012
T1206TS301_1o__T1206TS139_2o	0.826	0.944	0.944	0.839	0.851	0.793
T1206TS301_4o__T1206TS262_3o	0.815	0.938	0.938	0.86	0.892	0.899
T1206TS304_1o__T1206TS147_2o	0.946	0.978	0.978	0.943	0.959	0.956
