input	cv1_target_residues	cv1_model_residues	cv1_target_atoms	cv1_model_atoms	cv3_target_atoms	cv3_model_atoms	cv4_target_atoms	cv4_model_atoms	old_global_score	voronota_js_global_score	cadscore_lt_global_score	cadscore_lt_global_f1	cadscore_lt_rm_global_score	cadscore_lt_rm_global_f1	cadscore_lt_r_global_score	cadscore_lt_r_global_f1	old_iface_score	voronota_js_iface_score	cadscore_lt_iface_score	cadscore_lt_iface_f1	cadscore_lt_rm_iface_score	cadscore_lt_rm_iface_f1	cadscore_lt_r_iface_score	cadscore_lt_r_iface_f1	old_global_time	voronota_js_global_time	cadscore_lt_global_time	cadscore_lt_rm_global_time	cadscore_lt_r_global_time	old_iface_time	voronota_js_iface_time	cadscore_lt_iface_time	cadscore_lt_rm_iface_time	cadscore_lt_r_iface_time	voronota_js_lt_global_score	voronota_js_lt_global_time	voronota_js_lt_iface_score	voronota_js_lt_iface_time
T0206TS311_1o__T0206TS122_4o	474	948	3692	7384	3692	7384	3692	7384	0.908734	0.90987	0.910134	0.627701	0.912478	0.628763	0.910134	0.627701	0.847913	0.87853	0.879496	0.555408	0.883692	0.557879	0.879496	0.555408	5.44	6.50	0.35	0.36	0.34	4.93	1.11	0.08	0.09	0.12	0.91013	0.84	0.8795	0.34
T0206TS312_2o__T0206TS241_4o	474	474	3692	3692	3692	3692	3692	3692	0.897141	0.90495	0.905761	0.947458	0.905802	0.947477	0.905761	0.947458	0.823342	0.85372	0.854412	0.91881	0.854412	0.91881	0.854412	0.91881	3.27	4.31	0.23	0.26	0.24	3.28	0.51	0.05	0.07	0.06	0.90576	0.52	0.85441	0.22
T0206TS312_3o__T0206TS468_5o	474	1896	3692	14768	3692	14768	3692	14768	0.874435	0.87914	0.879729	0.367101	0.880107	0.367455	0.879729	0.367101	0.788554	0.81607	0.815808	0.283571	0.816301	0.283647	0.815808	0.283571	10.16	11.96	0.57	0.80	0.59	8.62	1.66	0.14	0.19	0.18	0.87973	1.52	0.81581	0.58
T0206TS312_4o__T0206TS114_3o	474	1422	3692	11076	3692	11076	3692	11076	0.326348	0.3017	0.301695	0.173337	0.30332	0.180014	0.301695	0.173337	0.000596586	0.00117	0.001167	0.000124	0.034861	0.006023	0.001167	0.000124	7.64	9.86	0.46	0.56	0.42	7.91	4.22	0.21	0.27	0.21	0.30169	1.14	0.00117	0.74
T0206TS319_2o__T0206TS208_2o	474	474	3692	3692	3692	3692	3692	3692	0.905244	0.90792	0.908325	0.943436	0.908831	0.943704	0.908325	0.943436	0.888041	0.89745	0.898374	0.944171	0.898955	0.944463	0.898374	0.944171	3.80	3.70	0.22	0.23	0.23	3.24	0.63	0.09	0.07	0.06	0.90833	0.65	0.89837	0.23
T0206TS319_5o__T0206TS014_2o	1896	474	14768	3692	14768	3692	14768	3692	0.215141	0.21546	0.215692	0.366353	0.215943	0.366474	0.215692	0.366353	0.169447	0.16923	0.16956	0.306721	0.169583	0.306722	0.16956	0.306721	9.37	12.35	0.56	0.65	0.58	10.83	1.66	0.14	0.16	0.15	0.21569	1.43	0.16956	0.57
T0206TS331_1o__T0206TS221_3o	474	474	3692	3692	3692	3692	3692	3692	0.876077	0.88993	0.891404	0.93961	0.891404	0.93961	0.891404	0.93961	0.822678	0.85082	0.852211	0.918593	0.852211	0.918593	0.852211	0.918593	3.03	4.82	0.21	0.22	0.21	2.79	0.58	0.04	0.05	0.06	0.8914	0.66	0.85221	0.23
T0206TS331_2o__T0206TS272_1o	474	474	3692	3690	3692	3690	3692	3690	0.450224	0.44246	0.443281	0.560973	0.443281	0.560973	0.443281	0.560973	0.0712921	0.05567	0.05654	0.162561	0.05654	0.162561	0.05654	0.162561	3.61	4.88	0.21	0.22	0.22	3.42	0.50	0.05	0.06	0.06	0.44328	0.53	0.05654	0.20
T0206TS331_5o__T0206TS300_4o	1896	1422	14768	11076	14768	11076	14768	11076	0.236501	0.21669	0.216786	0.297256	0.217454	0.298069	0.216786	0.297256	0.00223121	0.00279	0.002952	0.001793	0.008905	0.005147	0.002952	0.001793	14.63	19.54	0.78	1.05	0.83	13.20	5.62	0.28	0.42	0.35	0.21679	2.32	0.00295	1.05
T0206TS345_2o__T0206TS375_1o	474	2370	3692	18460	3692	18460	3692	18460	0.876695	0.882	0.882156	0.3053	0.882156	0.3053	0.882156	0.3053	0.844167	0.86274	0.861683	0.250829	0.861683	0.250829	0.861683	0.250829	11.83	15.29	0.68	1.16	0.70	12.00	2.50	0.18	0.24	0.18	0.88216	1.83	0.86168	0.71
T0206TS345_3o__T0206TS221_5o	948	474	7384	3692	7384	3692	7384	3692	0.417126	0.41934	0.419878	0.601817	0.420571	0.602148	0.419878	0.601817	0.295812	0.30343	0.30439	0.487609	0.304878	0.487937	0.30439	0.487609	6.19	7.23	0.33	0.35	0.37	5.26	1.16	0.09	0.11	0.10	0.41988	0.88	0.30439	0.34
T0206TS345_4o__T0206TS456_5o	1422	474	11076	3690	11076	3690	11076	3690	0.290188	0.28988	0.290136	0.4596	0.290905	0.460171	0.290136	0.4596	0.231639	0.22711	0.227748	0.381402	0.227906	0.381529	0.227748	0.381402	8.76	10.06	0.44	0.52	0.46	6.52	1.75	0.12	0.14	0.14	0.29014	1.20	0.22775	0.46
T0206TS375_1o__T0206TS015_4o	2370	474	18460	3692	18460	3692	18460	3692	0.169074	0.16751	0.167634	0.297478	0.167741	0.297531	0.167634	0.297478	0.132628	0.13043	0.130701	0.249679	0.131106	0.249498	0.130701	0.249679	11.69	15.05	0.68	0.80	0.71	11.89	2.50	0.18	0.21	0.20	0.16763	1.82	0.1307	0.67
T0206TS375_3o__T0206TS322_4o	948	948	7380	7380	7380	7380	7380	7380	0.871738	0.87888	0.878855	0.930272	0.878855	0.930272	0.878855	0.930272	0.696495	0.75916	0.760744	0.868451	0.762191	0.869277	0.760744	0.868451	7.29	9.86	0.46	0.52	0.54	7.76	1.74	0.11	0.14	0.14	0.87886	1.23	0.76074	0.46
T0206TS375_5o__T0206TS122_4o	2370	948	18460	7384	18460	7384	18460	7384	0.342533	0.33885	0.338892	0.514726	0.343427	0.518606	0.338892	0.514726	0.248899	0.24307	0.243507	0.395583	0.248007	0.400057	0.243507	0.395583	14.28	17.85	0.83	0.95	0.83	13.80	3.11	0.21	0.26	0.23	0.33889	2.35	0.24351	0.83
T0206TS380_1o__T0206TS051_2o	474	474	3692	3692	3692	3692	3692	3692	0.686084	0.68173	0.68187	0.766764	0.681891	0.76676	0.68187	0.766764	0.328844	0.34533	0.343959	0.366238	0.343996	0.36625	0.343959	0.366238	3.43	4.26	0.23	0.23	0.22	2.99	0.72	0.05	0.06	0.06	0.68187	0.66	0.34396	0.24
T0206TS380_3o__T0206TS139_5o	474	474	3692	3690	3692	3690	3692	3690	0.861374	0.87401	0.875106	0.926224	0.875106	0.926224	0.875106	0.926224	0.844787	0.86933	0.869959	0.928542	0.869959	0.928542	0.869959	0.928542	3.79	4.59	0.22	0.22	0.22	3.55	0.50	0.05	0.06	0.07	0.87511	0.66	0.86996	0.22
T0206TS380_3o__T0206TS196_4o	474	474	3692	3692	3692	3692	3692	3692	0.893383	0.90179	0.902359	0.944087	0.902399	0.944104	0.902359	0.944087	0.832419	0.85379	0.854269	0.92015	0.854269	0.92015	0.854269	0.92015	3.82	4.31	0.23	0.25	0.23	3.26	0.59	0.06	0.06	0.06	0.90236	0.62	0.85427	0.22
T0206TS380_3o__T0206TS475_3o	474	474	3692	3690	3692	3690	3692	3690	0.893211	0.9041	0.90458	0.947776	0.90458	0.947776	0.90458	0.947776	0.806833	0.85147	0.851749	0.918914	0.851807	0.918944	0.851749	0.918914	3.40	4.08	0.22	0.25	0.27	2.79	0.44	0.06	0.06	0.08	0.90458	0.68	0.85175	0.22
T0206TS388_1o__T0206TS264_3o	474	474	3690	3692	3690	3692	3690	3692	0.892975	0.89233	0.892475	0.934635	0.892475	0.934635	0.892475	0.934635	0.783581	0.79507	0.795529	0.890313	0.796214	0.890668	0.795529	0.890313	3.62	4.02	0.22	0.25	0.22	3.28	0.62	0.06	0.07	0.08	0.89248	0.52	0.79553	0.23
T0206TS388_3o__T0206TS167_1o	474	474	3690	3692	3690	3692	3690	3692	0.489094	0.47585	0.475979	0.561768	0.475979	0.561768	0.475979	0.561768	0	0	0	0.00352	0	0.00352	0	0.00352	3.43	4.29	0.25	0.23	0.25	3.17	0.42	0.05	0.06	0.06	0.47598	0.67	0	0.23
T0206TS393_1o__T0206TS167_3o	474	711	3692	5538	3692	5538	3692	5538	0.450232	0.43313	0.433562	0.409043	0.433562	0.409043	0.433562	0.409043	0.0316885	0.04258	0.04106	0.022055	0.043197	0.022433	0.04106	0.022055	4.62	6.26	0.30	0.30	0.32	4.28	1.45	0.08	0.12	0.09	0.43356	0.71	0.04106	0.34
T0206TS393_4o__T0206TS375_4o	474	2370	3692	18460	3692	18460	3692	18460	0.878071	0.87954	0.879743	0.305501	0.881893	0.305937	0.879743	0.305501	0.809647	0.84136	0.841447	0.26648	0.841947	0.266572	0.841447	0.26648	13.31	15.64	0.68	1.13	0.69	10.50	2.53	0.17	0.27	0.30	0.87974	2.00	0.84145	0.67
T0206TS393_6o__T0206TS164_3o	474	474	3692	3692	3692	3692	3692	3692	0.909609	0.91794	0.918505	0.954436	0.918615	0.954489	0.918505	0.954436	0.850978	0.88019	0.88164	0.935163	0.88164	0.935163	0.88164	0.935163	3.80	4.34	0.23	0.24	0.33	2.86	0.58	0.05	0.08	0.07	0.91851	0.65	0.88164	0.23
T0206TS393_6o__T0206TS456_5o	474	474	3692	3690	3692	3690	3692	3690	0.90839	0.92096	0.922201	0.958873	0.922201	0.958873	0.922201	0.958873	0.862077	0.8801	0.881729	0.937202	0.881729	0.937202	0.881729	0.937202	3.02	4.64	0.23	0.22	0.21	3.55	0.43	0.05	0.05	0.05	0.9222	0.65	0.88173	0.24
T0206TS419_3o__T0206TS380_1o	474	474	3692	3692	3692	3692	3692	3692	0.85337	0.87205	0.872914	0.929854	0.872914	0.929854	0.872914	0.929854	0.793802	0.82758	0.8279	0.905557	0.8279	0.905557	0.8279	0.905557	3.83	5.05	0.22	0.22	0.22	3.57	0.50	0.08	0.06	0.06	0.87291	0.62	0.8279	0.23
T0206TS419_4o__T0206TS456_5o	474	474	3692	3690	3692	3690	3692	3690	0.872109	0.88968	0.891114	0.94267	0.891114	0.94267	0.891114	0.94267	0.829618	0.85127	0.852789	0.919944	0.85281	0.919941	0.852789	0.919944	3.63	4.98	0.21	0.23	0.23	3.69	0.48	0.06	0.07	0.06	0.89111	0.56	0.85279	0.24
T0206TS425_4o__T0206TS052_4o	1422	474	11076	3690	11076	3690	11076	3690	0.268795	0.26647	0.266602	0.427563	0.267979	0.428631	0.266602	0.427563	0.162118	0.15995	0.160673	0.258124	0.160673	0.258124	0.160673	0.258124	8.22	10.07	0.45	0.49	0.46	8.34	1.83	0.11	0.14	0.14	0.2666	0.89	0.16067	0.45
T0206TS450_1o__T0206TS331_2o	474	474	3692	3692	3692	3692	3692	3692	0.535919	0.51766	0.518786	0.612196	0.518803	0.612205	0.518786	0.612196	0	0	0	0	0	0	0	0	3.26	4.63	0.22	0.29	0.24	3.08	0.44	0.05	0.07	0.07	0.51879	0.49	0	0.21
T0206TS450_1o__T0206TS423_4o	474	474	3692	3690	3692	3690	3692	3690	0.533605	0.51649	0.517871	0.613976	0.51789	0.613992	0.517871	0.613976	0	0	0	0	0	0	0	0	3.89	4.70	0.22	0.23	0.24	3.36	0.44	0.06	0.07	0.06	0.51787	0.68	0	0.21
T0206TS456_2o__T0206TS208_4o	474	474	3690	3692	3690	3692	3690	3692	0.87675	0.88669	0.887373	0.932838	0.887373	0.932838	0.887373	0.932838	0.790819	0.81847	0.819538	0.883119	0.819538	0.883119	0.819538	0.883119	3.71	4.98	0.23	0.25	0.23	2.94	0.60	0.05	0.06	0.06	0.88737	0.55	0.81954	0.24
T0206TS462_3o__T0206TS163_5o	474	474	3692	3692	3692	3692	3692	3692	0.903229	0.91115	0.911777	0.950702	0.911979	0.950807	0.911777	0.950702	0.839482	0.8449	0.847453	0.908588	0.847943	0.908833	0.847453	0.908588	3.87	4.26	0.23	0.23	0.23	3.56	0.49	0.06	0.06	0.06	0.91178	0.64	0.84745	0.24
T0206TS475_1o__T0206TS015_2o	474	474	3690	3692	3690	3692	3690	3692	0.809543	0.80986	0.810623	0.862983	0.810623	0.862983	0.810623	0.862983	0.523918	0.52674	0.528176	0.477	0.528176	0.477	0.528176	0.477	3.54	4.24	0.22	0.23	0.23	3.19	0.56	0.06	0.08	0.06	0.81062	0.62	0.52818	0.24
T0206TS494_2o__T0206TS075_5o	474	2370	3690	18460	3690	18460	3690	18460	0.834985	0.85423	0.855043	0.300417	0.855043	0.300417	0.855043	0.300417	0.791013	0.81948	0.820459	0.246718	0.820459	0.246718	0.820459	0.246718	11.81	14.10	0.67	1.13	0.74	13.09	2.22	0.16	0.22	0.19	0.85504	1.86	0.82046	0.67
T0218TS022_1o__T0218TS075_5o	3174	3492	25344	27807	25344	27807	25344	27807	0.889331	0.88614	0.885981	0.877741	0.88603	0.877765	0.885981	0.877741	0.762101	0.70915	0.708929	0.53456	0.708929	0.53456	0.708929	0.53456	33.97	40.36	1.64	1.75	1.69	31.72	2.48	0.32	0.44	0.44	0.88598	4.44	0.70893	1.33
T0218TS022_1o__T0218TS450_1o	3174	2328	25344	18538	25344	18538	25344	18538	0.372112	0.36979	0.369598	0.501376	0.36969	0.50144	0.369598	0.501376	0	0	0	0	0	0	0	0	27.34	32.45	1.33	1.47	1.44	24.68	2.67	0.32	0.40	0.40	0.3696	3.61	0	1.15
T0218TS022_2o__T0218TS139_4o	2106	2328	16820	18536	16820	18536	16820	18536	0.655242	0.65192	0.652207	0.718398	0.652207	0.718398	0.652207	0.718398	0	0	0	0	0	0	0	0	20.27	25.02	1.00	1.09	1.07	19.78	1.70	0.22	0.30	0.29	0.65221	3.06	0	0.98
T0218TS022_2o__T0218TS284_4o	2106	3492	16820	27807	16820	27807	16820	27807	0.695471	0.69143	0.69141	0.58468	0.691595	0.584784	0.69141	0.58468	0	0	0	0	0	0	0	0	25.87	35.24	1.29	1.50	1.39	22.70	1.78	0.27	0.41	0.40	0.69141	3.92	0	1.13
T0218TS028_1o__T0218TS052_4o	4656	3174	37076	25341	37076	25341	37076	25341	0.576982	0.57735	0.577494	0.734454	0.577494	0.734454	0.577494	0.734454	0.0706871	0.0836	0.08298	0.155385	0.085189	0.15845	0.08298	0.155385	39.00	49.00	1.79	2.10	1.93	39.52	1.61	0.37	0.52	0.52	0.57749	3.90	0.08298	1.56
T0218TS028_2o__T0218TS221_2o	4656	2328	37076	18538	37076	18538	37076	18538	0.397598	0.39539	0.395605	0.57577	0.395605	0.57577	0.395605	0.57577	0.0546087	0.05968	0.059336	0.125782	0.059336	0.125782	0.059336	0.125782	36.07	39.55	1.58	1.80	1.70	35.10	1.55	0.33	0.47	0.46	0.3956	3.87	0.05934	1.37
T0218TS028_2o__T0218TS425_1o	4656	2328	37076	18538	37076	18538	37076	18538	0.335231	0.33505	0.334915	0.512628	0.335103	0.512775	0.334915	0.512628	0	0	0	0	0	0	0	0	31.47	39.88	1.62	1.84	1.76	34.13	2.46	0.35	0.46	0.49	0.33492	4.46	0	1.40
T0218TS028_3o__T0218TS388_3o	3492	2328	27807	18538	27807	18538	27807	18538	0.525544	0.52438	0.52481	0.686471	0.525017	0.686554	0.52481	0.686471	0	0	0	0	0	0	0	0	28.52	35.74	1.43	1.50	1.41	21.48	1.33	0.28	0.38	0.41	0.52481	3.18	0	1.15
T0218TS051_1o__T0218TS059_5o	2328	2198	18538	17504	18538	17504	18538	17504	0.609109	0.60438	0.603978	0.718764	0.608996	0.722991	0.603978	0.718764	0.321702	0.31655	0.320008	0.286627	0.32028	0.287374	0.320008	0.286627	20.69	23.79	1.05	1.13	1.30	21.20	1.88	0.22	0.30	0.32	0.60398	2.52	0.32001	0.92
T0218TS051_2o__T0218TS298_5o	2328	2328	18538	18538	18538	18538	18538	18538	0.676207	0.67164	0.671087	0.767902	0.671135	0.767943	0.671087	0.767902	0	0	0	0	0	0	0	0	23.80	27.69	1.11	1.18	1.15	21.46	1.22	0.23	0.30	0.30	0.67109	3.23	0	0.93
T0218TS051_2o__T0218TS319_2o	2328	3492	18538	27807	18538	27807	18538	27807	0.678224	0.6741	0.673708	0.61454	0.673822	0.614557	0.673708	0.61454	0	0	0	0	0	0	0	0	28.35	29.09	1.36	1.56	1.44	27.79	1.98	0.27	0.37	0.38	0.67371	3.14	0	1.15
T0218TS052_2o__T0218TS311_2o	1797	2328	14466	18538	14466	18538	14466	18538	0.522737	0.51673	0.516408	0.503474	0.516555	0.503512	0.516408	0.503474	0.184717	0.20095	0.201303	0.351326	0.201303	0.351326	0.201303	0.351326	20.27	24.89	0.95	1.06	1.05	18.21	1.31	0.21	0.27	0.27	0.51641	2.83	0.2013	0.80
T0218TS052_3o__T0218TS494_5o	2106	2328	16820	18538	16820	18538	16820	18538	0.690116	0.68607	0.686519	0.736715	0.686519	0.736715	0.686519	0.736715	0	0	0	0	0	0	0	0	21.86	25.69	1.02	1.10	1.09	17.41	1.58	0.21	0.29	0.29	0.68652	3.04	0	0.88
T0218TS052_5o__T0218TS022_4o	2116	3174	16894	25341	16894	25341	16894	25341	0.801318	0.79995	0.800337	0.686309	0.800669	0.686532	0.800337	0.686309	0	0	0	0	0	0	0	0	24.09	33.10	1.22	1.35	1.31	25.40	1.55	0.25	0.35	0.34	0.80034	3.37	0	1.03
T0218TS059_2o__T0218TS272_2o	2198	2328	17504	18536	17504	18536	17504	18536	0.64482	0.62891	0.628073	0.692922	0.628073	0.692922	0.628073	0.692922	0	0	0	0	0	0	0	0	21.06	22.32	1.02	1.11	1.11	18.20	2.22	0.22	0.32	0.30	0.62807	2.60	0	0.93
T0218TS075_3o__T0218TS456_2o	3492	1797	27807	14466	27807	14466	27807	14466	0.476032	0.46888	0.468631	0.640117	0.468637	0.640117	0.468631	0.640117	0.623391	0.59589	0.595768	0.698275	0.595768	0.698275	0.595768	0.698275	26.77	34.92	1.23	1.35	1.34	23.77	1.88	0.25	0.36	0.37	0.46863	3.17	0.59577	1.09
T0218TS110_3o__T0218TS219_3o	5820	3492	46345	27804	46345	27804	46345	27804	0.459231	0.45575	0.456084	0.630669	0.45629	0.631029	0.456084	0.630669	0.00584835	0.00959	0.009513	0.019265	0.019512	0.038403	0.009513	0.019265	48.34	50.61	2.10	2.83	2.28	45.27	3.29	0.43	0.61	0.60	0.45608	6.07	0.00951	1.84
T0218TS110_5o__T0218TS075_2o	4656	3492	37076	27807	37076	27807	37076	27807	0.664078	0.66238	0.662371	0.792219	0.662385	0.792198	0.662371	0.792219	0.132473	0.14542	0.144285	0.179213	0.147526	0.183762	0.144285	0.179213	33.26	53.54	1.84	2.27	2.01	35.24	2.69	0.38	0.52	0.54	0.66237	4.83	0.14428	1.60
T0218TS122_1o__T0218TS284_2o	3492	3492	27807	27807	27807	27807	27807	27807	0.907938	0.90257	0.902486	0.938623	0.902567	0.938667	0.902486	0.938623	0.468188	0.44831	0.447611	0.540178	0.447611	0.540178	0.447611	0.540178	36.72	38.63	1.60	1.80	1.74	33.08	2.57	0.34	0.46	0.48	0.90249	3.41	0.44761	1.42
T0218TS122_1o__T0218TS462_3o	3492	3492	27807	27807	27807	27807	27807	27807	0.820787	0.81631	0.816581	0.877194	0.824818	0.88603	0.816581	0.877194	0.0402619	0.04857	0.048869	0.065155	0.381206	0.533225	0.048869	0.065155	30.72	36.02	1.60	1.76	1.73	33.92	2.44	0.33	0.46	0.45	0.81658	4.20	0.04887	1.39
T0218TS122_4o__T0218TS494_4o	3492	2328	27807	18536	27807	18536	27807	18536	0.523438	0.52228	0.522553	0.690609	0.523098	0.690963	0.522553	0.690609	0.0308279	0.0271	0.026821	0.056534	0.027465	0.05718	0.026821	0.056534	27.06	33.98	1.45	1.49	1.44	26.09	2.07	0.28	0.38	0.37	0.52255	4.03	0.02682	1.18
T0218TS139_4o__T0218TS262_5o	2328	2328	18536	18536	18536	18536	18536	18536	0.621723	0.61304	0.613048	0.703694	0.613048	0.703694	0.613048	0.703694	0.0146565	0.01538	0.014654	0.019638	0.014654	0.019638	0.014654	0.019638	21.60	24.82	1.01	1.14	1.09	21.64	1.82	0.21	0.29	0.30	0.61305	3.15	0.01465	0.92
T0218TS139_4o__T0218TS331_4o	2328	3492	18536	27807	18536	27807	18536	27807	0.752723	0.7514	0.751653	0.66057	0.751705	0.660575	0.751653	0.66057	0	0	0	0	0	0	0	0	25.86	33.15	1.34	1.44	1.38	26.82	2.01	0.27	0.40	0.38	0.75165	3.93	0	1.17
T0218TS147_3o__T0218TS274_5o	4656	2328	37076	18538	37076	18538	37076	18538	0.424758	0.42074	0.420785	0.592224	0.42122	0.592521	0.420785	0.592224	0	0	0	0	0	0	0	0	27.37	35.40	1.65	1.89	1.77	28.45	2.31	0.32	0.46	0.48	0.42079	4.07	0	1.39
T0218TS147_4o__T0218TS167_1o	5820	3492	46345	27807	46345	27807	46345	27807	0.506032	0.50044	0.500478	0.663778	0.500818	0.664241	0.500478	0.663778	0.00915417	0.01238	0.012238	0.023863	0.025238	0.04752	0.012238	0.023863	52.20	51.11	2.13	2.83	2.29	47.17	2.72	0.42	0.62	0.61	0.50048	5.47	0.01224	1.83
T0218TS147_4o__T0218TS262_5o	5820	2328	46345	18536	46345	18536	46345	18536	0.252299	0.24567	0.245701	0.409891	0.245867	0.410001	0.245701	0.409891	0	0	0	0	0	0	0	0	39.38	43.69	1.84	2.14	1.99	34.16	2.88	0.38	0.54	0.53	0.2457	5.24	0	1.64
T0218TS147_4o__T0218TS345_2o	5820	2328	46345	18538	46345	18538	46345	18538	0.262543	0.26255	0.262527	0.43514	0.262896	0.435383	0.262527	0.43514	0	0	0	0	0	0	0	0	40.28	41.31	1.86	2.17	1.99	35.12	2.82	0.38	0.52	0.54	0.26253	4.28	0	1.62
T0218TS164_2o__T0218TS286_4o	3492	2328	27804	18538	27804	18538	27804	18538	0.389556	0.37774	0.377657	0.543935	0.377697	0.543984	0.377657	0.543935	0.0432424	0.04527	0.045739	0.10725	0.045969	0.107717	0.045739	0.10725	25.50	28.90	1.27	1.39	1.36	26.25	1.53	0.27	0.36	0.38	0.37766	3.64	0.04574	1.13
T0218TS164_2o__T0218TS345_5o	3492	3492	27804	27807	27804	27807	27804	27807	0.821467	0.8264	0.82684	0.881536	0.835031	0.890314	0.82684	0.881536	0.0839386	0.10177	0.102769	0.100062	0.828115	0.82312	0.102769	0.100062	28.15	38.03	1.55	1.73	1.66	25.54	1.92	0.32	0.45	0.46	0.82684	4.13	0.10277	1.35
T0218TS164_3o__T0218TS075_1o	3492	3492	27804	27807	27804	27807	27804	27807	0.825185	0.82684	0.827111	0.880165	0.827111	0.880165	0.827111	0.880165	0.820973	0.81782	0.819718	0.674357	0.819718	0.674357	0.819718	0.674357	28.65	35.09	1.54	1.75	1.67	35.71	2.29	0.32	0.44	0.45	0.82711	4.64	0.81972	1.37
T0218TS164_5o__T0218TS167_3o	3492	3492	27804	27807	27804	27807	27804	27807	0.543757	0.54612	0.54742	0.639868	0.550071	0.643705	0.54742	0.639868	0.0365999	0.0398	0.040766	0.036227	0.271456	0.307479	0.040766	0.036227	35.19	42.49	1.65	1.82	1.79	29.60	2.29	0.33	0.46	0.46	0.54742	4.51	0.04077	1.39
T0218TS167_2o__T0218TS423_4o	4656	2328	37076	18536	37076	18536	37076	18536	0.401683	0.40271	0.402891	0.582671	0.40302	0.582752	0.402891	0.582671	0.0564044	0.06824	0.06844	0.141331	0.07502	0.150045	0.06844	0.141331	30.94	41.03	1.62	1.78	1.71	32.60	2.00	0.34	0.43	0.45	0.40289	4.35	0.06844	1.39
T0218TS167_3o__T0218TS311_4o	3492	2328	27807	18538	27807	18538	27807	18538	0.339385	0.3334	0.333672	0.50679	0.335401	0.507865	0.333672	0.50679	0.0589973	0.06624	0.066579	0.136605	0.066579	0.136605	0.066579	0.136605	26.41	37.12	1.37	1.52	1.48	24.52	1.22	0.28	0.38	0.37	0.33367	2.84	0.06658	1.16
T0218TS219_2o__T0218TS167_3o	3492	3492	27804	27807	27804	27807	27804	27807	0.547391	0.54792	0.548295	0.64191	0.551083	0.645681	0.548295	0.64191	0.0203983	0.02501	0.025773	0.028823	0.190747	0.25696	0.025773	0.028823	29.75	48.18	1.66	1.86	1.79	29.83	2.49	0.35	0.46	0.46	0.54829	5.06	0.02577	1.40
T0218TS221_1o__T0218TS051_3o	2328	2328	18538	18538	18538	18538	18538	18538	0.82322	0.82188	0.822073	0.874665	0.822073	0.874665	0.822073	0.874665	0	0	0	0	0	0	0	0	23.13	27.29	1.05	1.16	1.12	20.64	1.33	0.21	0.30	0.30	0.82207	2.49	0	0.91
T0218TS221_3o__T0218TS028_2o	2328	4656	18538	37076	18538	37076	18538	37076	0.812794	0.81603	0.816519	0.578596	0.816644	0.578581	0.816519	0.578596	0.274224	0.3389	0.341994	0.136811	0.341994	0.136811	0.341994	0.136811	33.38	44.01	1.58	1.83	1.72	32.97	2.02	0.33	0.45	0.46	0.81652	4.81	0.34199	1.37
T0218TS221_3o__T0218TS262_1o	2328	2328	18538	18536	18538	18536	18538	18536	0.641363	0.6294	0.629628	0.72055	0.629628	0.72055	0.629628	0.72055	0	0	0	0	0	0	0	0	22.00	29.49	1.02	1.14	1.11	19.69	1.55	0.20	0.28	0.29	0.62963	2.62	0	0.92
T0218TS221_3o__T0218TS345_4o	2328	2328	18538	18538	18538	18538	18538	18538	0.811489	0.80958	0.809707	0.866176	0.809791	0.866208	0.809707	0.866176	0	0	0	0	0	0	0	0	20.11	25.94	1.04	1.14	1.13	19.70	1.31	0.21	0.29	0.30	0.80971	3.01	0	0.85
T0218TS221_5o__T0218TS262_4o	2328	2328	18538	18536	18538	18536	18538	18536	0.614123	0.60072	0.600505	0.686258	0.600505	0.686258	0.600505	0.686258	0	0	0	0	0	0	0	0	21.95	25.92	1.03	1.13	1.13	21.65	1.41	0.23	0.30	0.28	0.6005	3.13	0	0.88
T0218TS241_2o__T0218TS059_4o	3492	2198	27807	17504	27807	17504	27807	17504	0.400064	0.39165	0.391462	0.558525	0.391462	0.558525	0.391462	0.558525	0	0	0	0	0	0	0	0	25.02	33.07	1.28	1.41	1.39	25.48	2.06	0.26	0.37	0.37	0.39146	3.84	0	1.14
T0218TS241_2o__T0218TS345_5o	3492	3492	27807	27807	27807	27807	27807	27807	0.913593	0.90846	0.908477	0.942673	0.908477	0.942673	0.908477	0.942673	0.692809	0.63635	0.635486	0.776613	0.637204	0.778106	0.635486	0.776613	31.02	43.99	1.56	1.76	1.69	26.26	2.32	0.32	0.44	0.46	0.90848	3.40	0.63549	1.39
T0218TS241_5o__T0218TS272_3o	3492	2328	27807	18536	27807	18536	27807	18536	0.572585	0.56519	0.565451	0.712805	0.565668	0.713038	0.565451	0.712805	0.0453655	0.06099	0.061744	0.08608	0.072877	0.097914	0.061744	0.08608	24.81	35.50	1.31	1.47	1.41	24.73	2.06	0.27	0.38	0.38	0.56545	3.04	0.06174	1.18
T0218TS262_2o__T0218TS323_2o	2328	2328	18536	18538	18536	18538	18536	18538	0.772714	0.76383	0.764827	0.844099	0.764827	0.844099	0.764827	0.844099	0	0	0	0	0	0	0	0	21.56	23.56	1.02	1.13	1.10	20.69	0.95	0.22	0.33	0.29	0.76483	2.48	0	0.90
T0218TS272_1o__T0218TS301_5o	2328	3492	18536	27807	18536	27807	18536	27807	0.871296	0.86243	0.862295	0.716009	0.862353	0.716079	0.862295	0.716009	0	0	0	0.000297	0	0.000297	0	0.000297	26.10	32.65	1.32	1.50	1.47	25.25	1.99	0.34	0.41	0.39	0.8623	2.90	0	1.18
