input	ost_ilddt	ost_qs_global	ost_qs_best	ost_ics	ost_ips	ost_dockq_ave	ost_dockq_wave	ost_dockq_ave_full	ost_dockq_wave_full	ost_tm_score
H2267TS287_1__H2267TS262_5	0.551	0.643	0.643	0.707	0.572	0.137	0.304	0.137	0.304	0.453
H2267TS287_2__H2267TS419_2	0.562	0.662	0.662	0.712	0.619	0.14	0.303	0.14	0.303	0.452
H2267TS287_4__H2267TS163_1	0.579	0.652	0.652	0.711	0.615	0.142	0.303	0.142	0.303	0.457
H2267TS290_1__H2267TS267_4	0.548	0.594	0.594	0.728	0.532	0.234	0.51	0.234	0.51	0.493
H2267TS290_3__H2267TS221_4	0.86	0.924	0.924	0.873	0.854	0.823	0.871	0.823	0.871	0.994
H2267TS290_5__H2267TS311_2	0.872	0.932	0.932	0.904	0.898	0.664	0.743	0.664	0.743	0.951
H2267TS293_2__H2267TS075_2	0.532	0.55	0.55	0.647	0.477	0.238	0.507	0.238	0.507	0.493
H2267TS293_4__H2267TS164_4	0.943	0.972	0.972	0.945	0.947	0.788	0.828	0.788	0.828	0.982
H2267TS294_2__H2267TS264_3	0.437	0.488	0.488	0.609	0.436	0.216	0.371	0.216	0.371	0.487
H2267TS298_1__H2267TS465_5	0.696	0.575	0.575	0.711	0.5	0.27	0.663	0.27	0.663	0.495
H2267TS301_2__H2267TS208_5	0.87	0.947	0.947	0.916	0.905	0.733	0.786	0.733	0.786	0.975
H2267TS301_4__H2267TS204_2	0.653	0.591	0.591	0.685	0.506	0.233	0.556	0.233	0.556	0.492
H2267TS304_2__H2267TS164_3	0.863	0.952	0.952	0.9	0.866	0.614	0.708	0.614	0.708	0.963
H2267TS304_4__H2267TS489_3	0.774	0.896	0.896	0.849	0.779	0.543	0.694	0.543	0.694	0.953
H2267TS304_5__H2267TS284_2	0.848	0.911	0.911	0.9	0.878	0.76	0.755	0.76	0.755	0.964
H2267TS311_2__H2267TS059_3	0.74	0.882	0.882	0.824	0.805	0.6	0.643	0.6	0.643	0.948
H2267TS311_4__H2267TS147_4	0.899	0.955	0.955	0.932	0.927	0.869	0.834	0.869	0.834	0.991
H2267TS312_5__H2267TS462_5	0.946	0.976	0.976	0.955	0.953	0.874	0.802	0.874	0.802	0.988
H2267TS369_2__H2267TS148_2	0.904	0.968	0.968	0.931	0.922	0.824	0.879	0.824	0.879	0.986
H2267TS369_3__H2267TS145_3	0.581	0.562	0.562	0.641	0.595	0.241	0.465	0.241	0.465	0.495
H2267TS375_1__H2267TS301_2	0.927	0.965	0.965	0.936	0.947	0.874	0.884	0.874	0.884	0.986
H2267TS388_3__H2267TS462_2	0.031	0.006	0.006	0.003	0.332	0.093	0.017	0.093	0.017	0.943
H2267TS393_1__H2267TS079_3	0.64	0.567	0.567	0.671	0.487	0.261	0.627	0.261	0.627	0.495
H2267TS419_1__H2267TS494_3	0.67	0.745	0.745	0.78	0.637	0.265	0.564	0.265	0.564	0.49
H2267TS419_3__H2267TS052_1	0.827	0.931	0.931	0.85	0.84	0.686	0.674	0.686	0.674	0.971
H2267TS419_4__H2267TS465_1	0.544	0.534	0.534	0.603	0.528	0.138	0.293	0.138	0.293	0.437
H2267TS456_1__H2267TS462_2	0.805	0.923	0.923	0.869	0.826	0.518	0.688	0.518	0.688	0.922
H2267TS456_5__H2267TS312_1	0.93	0.967	0.967	0.952	0.928	0.884	0.832	0.884	0.832	0.994
H2267TS462_2__H2267TS262_4	0.685	0.569	0.569	0.715	0.519	0.292	0.617	0.292	0.617	0.493
H2267TS462_6__H2267TS290_3	0.707	0.589	0.589	0.723	0.51	0.339	0.689	0.339	0.689	0.495
H2267TS465_1__H2267TS294_5	0.442	0.526	0.526	0.612	0.524	0.155	0.241	0.155	0.241	0.431
H2267TS475_4__H2267TS198_2	0.851	0.434	0.911	0.541	0.387	0.752	0.752	0.752	0.752	0.971
H2267TS489_1__H2267TS059_5	0.57	0.547	0.547	0.528	0.52	0.182	0.314	0.182	0.314	0.449
H2267TS489_3__H2267TS369_3	0.634	0.805	0.805	0.74	0.744	0.62	0.657	0.62	0.657	0.919
H2267TS494_3__H2267TS264_2	0.675	0.713	0.713	0.742	0.599	0.496	0.671	0.496	0.671	0.495
H2272TS014_1__H2272TS286_5	0.612	0.352	0.433	0.4	0.416	0.134	0.174	0.134	0.174	0.184
H2272TS015_2__H2272TS171_2	0.002	0.001	0.001	0.0	0.13	0.016	0.002	0.013	0.002	0.12
H2272TS015_5__H2272TS148_2	0.001	0.0	0.0	0.0	0.141	0.003	0.002	0.003	0.002	0.161
H2272TS028_5__H2272TS388_3	0.089	0.115	0.135	0.109	0.411	0.041	0.076	0.033	0.058	0.177
H2272TS052_2__H2272TS241_4	0.759	0.461	0.852	0.568	0.435	0.278	0.507	0.278	0.507	0.708
H2272TS052_4__H2272TS475_3	0.525	0.549	0.571	0.66	0.56	0.199	0.358	0.199	0.358	0.451
H2272TS052_5__H2272TS241_1	0.506	0.397	0.593	0.514	0.454	0.234	0.423	0.234	0.423	0.516
H2272TS059_1__H2272TS456_3	0.733	0.582	0.747	0.656	0.499	0.288	0.644	0.288	0.644	0.44
H2272TS059_2__H2272TS262_2	0.186	0.124	0.135	0.116	0.544	0.055	0.073	0.055	0.073	0.345
H2272TS075_1__H2272TS139_4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.175
H2272TS075_3__H2272TS286_5	0.559	0.492	0.493	0.595	0.604	0.171	0.264	0.171	0.264	0.256
H2272TS091_4__H2272TS221_4	0.276	0.221	0.238	0.314	0.45	0.097	0.161	0.097	0.161	0.141
H2272TS139_1__H2272TS148_3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43
H2272TS139_3__H2272TS312_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.421
H2272TS139_4__H2272TS139_5	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.388
H2272TS139_4__H2272TS272_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.345
H2272TS163_2__H2272TS388_3	0.122	0.134	0.148	0.124	0.528	0.045	0.085	0.04	0.072	0.173
H2272TS163_4__H2272TS388_4	0.144	0.137	0.151	0.134	0.563	0.068	0.099	0.059	0.084	0.17
H2272TS164_5__H2272TS139_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.212
H2272TS171_3__H2272TS015_5	0.0	0.0	0.0	0.0	0.141	0.004	0.004	0.003	0.004	0.069
H2272TS221_3__H2272TS091_1	0.138	0.16	0.173	0.201	0.433	0.041	0.07	0.041	0.07	0.236
H2272TS221_4__H2272TS419_2	0.769	0.69	0.85	0.718	0.746	0.71	0.804	0.71	0.804	0.972
H2272TS264_4__H2272TS286_3	0.483	0.555	0.615	0.626	0.603	0.196	0.278	0.196	0.278	0.273
H2272TS264_6__H2272TS059_3	0.092	0.117	0.134	0.111	0.411	0.042	0.078	0.033	0.061	0.185
H2272TS284_5__H2272TS465_2	0.132	0.129	0.147	0.126	0.577	0.084	0.075	0.061	0.06	0.208
H2272TS287_3__H2272TS286_4	0.041	0.008	0.009	0.005	0.193	0.023	0.009	0.023	0.009	0.083
H2272TS287_5__H2272TS388_4	0.004	0.0	0.0	0.0	0.04	0.002	0.003	0.001	0.0	0.066
H2272TS388_2__H2272TS091_1	0.191	0.158	0.179	0.219	0.346	0.048	0.085	0.048	0.085	0.195
H2272TS388_2__H2272TS272_2	0.672	0.519	0.659	0.614	0.433	0.135	0.37	0.135	0.37	0.36
H2272TS456_5__H2272TS393_6	0.673	0.646	0.681	0.712	0.715	0.253	0.431	0.253	0.431	0.557
H2272TS462_6__H2272TS286_4	0.179	0.102	0.137	0.08	0.455	0.054	0.046	0.054	0.046	0.181
H2272TS465_1__H2272TS465_3	0.2	0.157	0.157	0.158	0.792	0.093	0.108	0.093	0.108	0.377
H2272TS465_5__H2272TS312_3	0.224	0.132	0.163	0.131	0.416	0.08	0.111	0.08	0.111	0.376
H2272TS475_4__H2272TS022_4	0.612	0.549	0.571	0.66	0.56	0.233	0.421	0.233	0.421	0.245
R0250TS028_1o__R0250TS304_1o	0.0	0.0	0.0	0.0	0.024	0.002	0.002	0.002	0.002	0.169
R0250TS028_1o__R0250TS462_4o	0.0	0.0	0.0	0.0	0.0	0.001	0.001	0.001	0.001	0.16
R0250TS028_2o__R0250TS110_3o	0.1	0.18	0.18	0.271	0.284	0.109	0.094	0.109	0.094	0.437
R0250TS028_2o__R0250TS304_2o	0.0	0.013	0.013	0.025	0.179	0.154	0.151	0.154	0.151	0.163
R0250TS028_3o__R0250TS189_5o	0.038	0.037	0.04	0.042	0.067	0.062	0.062	0.021	0.024	0.139
R0250TS028_3o__R0250TS450_3o	0.0	0.0	0.0	0.0	0.0	0.002	0.002	0.001	0.001	0.16
R0250TS110_1o__R0250TS028_4o	0.0	0.0	0.0	0.0	0.008	0.002	0.002	0.002	0.002	0.196
R0250TS110_1o__R0250TS167_3o	0.0	0.0	0.0	0.0	0.0	0.001	0.001	0.0	0.0	0.137
R0250TS110_1o__R0250TS304_1o	0.034	0.087	0.087	0.076	0.077	0.024	0.024	0.024	0.024	0.167
R0250TS110_3o__R0250TS241_3o	0.0	0.0	0.0	0.0	0.021	0.002	0.002	0.002	0.002	0.171
R0250TS110_3o__R0250TS462_3o	0.099	0.233	0.233	0.257	0.233	0.096	0.096	0.096	0.096	0.436
R0250TS110_4o__R0250TS110_1o	0.0	0.0	0.0	0.0	0.021	0.006	0.006	0.006	0.006	0.239
R0250TS110_5o__R0250TS189_5o	0.001	0.0	0.0	0.0	0.011	0.003	0.003	0.001	0.001	0.163
R0250TS167_3o__R0250TS462_3o	0.0	0.0	0.0	0.0	0.0	0.002	0.002	0.002	0.002	0.193
R0250TS167_4o__R0250TS450_4o	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
R0250TS167_4o__R0250TS462_2o	0.107	0.07	0.07	0.065	0.101	0.057	0.057	0.057	0.057	0.147
R0250TS189_5o__R0250TS304_4o	0.0	0.001	0.002	0.001	0.059	0.023	0.023	0.023	0.023	0.306
R0250TS241_1o__R0250TS462_2o	0.0	0.0	0.0	0.0	0.0	0.003	0.002	0.003	0.002	0.168
R0250TS241_2o__R0250TS167_4o	0.031	0.064	0.064	0.058	0.096	0.02	0.02	0.02	0.02	0.132
R0250TS241_2o__R0250TS450_3o	0.01	0.063	0.149	0.039	0.085	0.023	0.023	0.008	0.008	0.129
R0250TS241_3o__R0250TS028_4o	0.0	0.0	0.0	0.0	0.04	0.003	0.002	0.003	0.002	0.178
R0250TS241_3o__R0250TS304_2o	0.0	0.002	0.002	0.01	0.099	0.09	0.109	0.09	0.109	0.166
R0250TS241_3o__R0250TS304_4o	0.0	0.003	0.003	0.01	0.099	0.089	0.102	0.089	0.102	0.158
R0250TS241_5o__R0250TS462_1o	0.0	0.0	0.0	0.0	0.012	0.002	0.002	0.002	0.002	0.189
R0250TS262_2o__R0250TS028_1o	0.0	0.0	0.0	0.0	0.044	0.003	0.003	0.003	0.003	0.229
R0250TS262_2o__R0250TS304_1o	0.058	0.0	0.0	0.119	0.209	0.033	0.033	0.033	0.033	0.154
R0250TS262_4o__R0250TS167_3o	0.0	0.0	0.0	0.0	0.035	0.0	0.0	0.0	0.0	0.134
R0250TS262_5o__R0250TS028_2o	0.0	0.0	0.0	0.0	0.036	0.003	0.003	0.003	0.003	0.206
R0250TS262_5o__R0250TS304_3o	0.0	0.004	0.01	0.012	0.169	0.066	0.066	0.066	0.066	0.149
R0250TS262_5o__R0250TS304_5o	0.0	0.003	0.009	0.011	0.168	0.062	0.062	0.062	0.062	0.166
R0250TS272_5o__R0250TS304_4o	0.0	0.004	0.011	0.015	0.119	0.123	0.123	0.123	0.123	0.206
R0250TS304_1o__R0250TS450_3o	0.003	0.013	0.049	0.019	0.053	0.027	0.027	0.009	0.004	0.201
R0250TS304_1o__R0250TS462_1o	0.0	0.0	0.0	0.0	0.024	0.002	0.002	0.002	0.002	0.164
R0250TS304_2o__R0250TS272_5o	0.001	0.003	0.009	0.015	0.119	0.012	0.012	0.004	0.004	0.139
R0250TS304_2o__R0250TS462_4o	0.0	0.001	0.001	0.002	0.022	0.003	0.003	0.003	0.003	0.154
R0250TS304_3o__R0250TS462_5o	0.0	0.008	0.008	0.015	0.146	0.006	0.006	0.006	0.006	0.172
R0250TS304_4o__R0250TS110_1o	0.0	0.01	0.01	0.029	0.127	0.009	0.009	0.009	0.009	0.158
R0250TS304_4o__R0250TS167_4o	0.0	0.002	0.002	0.003	0.046	0.003	0.003	0.003	0.003	0.167
R0250TS304_4o__R0250TS241_5o	0.0	0.0	0.0	0.0	0.079	0.003	0.003	0.001	0.001	0.156
R0250TS304_4o__R0250TS462_5o	0.0	0.006	0.006	0.016	0.146	0.006	0.006	0.006	0.006	0.16
R0250TS304_5o__R0250TS028_2o	0.0	0.014	0.014	0.027	0.179	0.008	0.008	0.008	0.008	0.196
R0250TS450_3o__R0250TS241_2o	0.064	0.063	0.149	0.039	0.085	0.063	0.063	0.063	0.063	0.182
R0250TS450_3o__R0250TS304_1o	0.022	0.013	0.049	0.019	0.053	0.052	0.052	0.052	0.052	0.276
R0250TS450_4o__R0250TS241_5o	0.0	0.0	0.0	0.0	0.073	0.01	0.01	0.003	0.003	0.215
R0250TS450_4o__R0250TS262_2o	0.0	0.0	0.0	0.0	0.041	0.002	0.002	0.001	0.001	0.102
R0250TS450_5o__R0250TS481_3o	0.0	0.0	0.0	0.0	0.012	0.002	0.002	0.0	0.0	0.082
R0250TS462_2o__R0250TS262_5o	0.0	0.0	0.0	0.0	0.036	0.002	0.002	0.001	0.0	0.144
R0250TS462_3o__R0250TS110_3o	0.119	0.233	0.233	0.257	0.233	0.099	0.099	0.099	0.099	0.435
R0250TS462_3o__R0250TS304_4o	0.0	0.01	0.01	0.029	0.127	0.21	0.21	0.21	0.21	0.167
R0250TS462_4o__R0250TS110_4o	0.173	0.05	0.05	0.288	0.232	0.11	0.108	0.11	0.108	0.129
R0250TS481_3o__R0250TS028_2o	0.033	0.055	0.083	0.083	0.129	0.039	0.039	0.039	0.039	0.202
R0251TS241_4o__R0251TS262_3o	0.0	0.0	0.0	0.0	0.059	0.002	0.002	0.001	0.0	0.136
R0251TS262_3o__R0251TS304_2o	0.001	0.0	0.0	0.0	0.081	0.003	0.003	0.003	0.003	0.156
R0252TS028_1o__R0252TS110_3o	0.308	0.131	0.131	0.391	0.508	0.178	0.178	0.178	0.178	0.228
R0252TS028_1o__R0252TS167_2o	0.054	0.022	0.04	0.086	0.216	0.031	0.031	0.031	0.031	0.159
R0252TS028_2o__R0252TS462_3o	0.262	0.086	0.086	0.127	0.141	0.109	0.109	0.109	0.109	0.168
R0252TS028_2o__R0252TS462_5o	0.291	0.19	0.19	0.253	0.295	0.134	0.134	0.134	0.134	0.234
R0252TS028_3o__R0252TS110_3o	0.304	0.133	0.133	0.447	0.548	0.185	0.185	0.185	0.185	0.128
R0252TS028_3o__R0252TS110_4o	0.285	0.137	0.137	0.482	0.517	0.172	0.172	0.172	0.172	0.158
R0252TS028_4o__R0252TS110_3o	0.355	0.138	0.138	0.504	0.56	0.216	0.216	0.216	0.216	0.213
R0252TS028_4o__R0252TS167_2o	0.049	0.015	0.029	0.065	0.231	0.028	0.028	0.028	0.028	0.254
R0252TS028_5o__R0252TS110_3o	0.252	0.066	0.066	0.368	0.523	0.149	0.149	0.149	0.149	0.223
R0252TS028_5o__R0252TS167_2o	0.032	0.021	0.038	0.064	0.191	0.024	0.024	0.024	0.024	0.257
R0252TS110_2o__R0252TS167_3o	0.156	0.055	0.072	0.243	0.275	0.101	0.101	0.101	0.101	0.217
R0252TS110_3o__R0252TS028_3o	0.279	0.133	0.133	0.447	0.548	0.133	0.133	0.133	0.133	0.129
R0252TS110_3o__R0252TS262_1o	0.006	0.0	0.0	0.004	0.086	0.003	0.003	0.003	0.003	0.142
R0252TS110_4o__R0252TS110_1o	0.318	0.082	0.082	0.43	0.551	0.167	0.167	0.167	0.167	0.255
R0252TS110_4o__R0252TS110_2o	0.193	0.177	0.177	0.392	0.399	0.109	0.109	0.109	0.109	0.203
R0252TS110_4o__R0252TS167_4o	0.002	0.001	0.002	0.003	0.053	0.003	0.003	0.003	0.003	0.169
R0252TS110_4o__R0252TS262_2o	0.413	0.252	0.252	0.529	0.643	0.206	0.206	0.206	0.206	0.335
R0252TS110_5o__R0252TS167_1o	0.0	0.0	0.0	0.0	0.046	0.005	0.005	0.005	0.005	0.195
R0252TS110_5o__R0252TS450_3o	0.087	0.063	0.078	0.164	0.239	0.05	0.05	0.05	0.05	0.168
R0252TS110_5o__R0252TS450_4o	0.0	0.0	0.0	0.0	0.011	0.003	0.003	0.003	0.003	0.161
R0252TS167_1o__R0252TS462_5o	0.0	0.0	0.0	0.0	0.053	0.0	0.0	0.0	0.0	0.106
R0252TS167_2o__R0252TS167_4o	0.0	0.0	0.0	0.0	0.015	0.002	0.003	0.001	0.001	0.156
R0252TS167_2o__R0252TS462_3o	0.038	0.015	0.025	0.061	0.173	0.097	0.097	0.024	0.025	0.085
R0252TS167_3o__R0252TS110_5o	0.165	0.064	0.078	0.17	0.241	0.087	0.087	0.022	0.068	0.088
R0252TS167_3o__R0252TS208_1o	0.005	0.0	0.0	0.004	0.036	0.002	0.003	0.002	0.003	0.236
R0252TS167_3o__R0252TS462_1o	0.171	0.054	0.068	0.214	0.266	0.094	0.094	0.024	0.074	0.102
R0252TS167_4o__R0252TS028_2o	0.0	0.0	0.0	0.0	0.0	0.002	0.002	0.001	0.001	0.119
R0252TS167_5o__R0252TS167_2o	0.0	0.0	0.0	0.0	0.013	0.002	0.002	0.002	0.002	0.18
R0252TS167_5o__R0252TS208_1o	0.0	0.0	0.0	0.0	0.021	0.001	0.001	0.001	0.001	0.204
R0252TS167_5o__R0252TS208_4o	0.015	0.0	0.0	0.0	0.063	0.003	0.003	0.003	0.003	0.185
R0252TS167_5o__R0252TS450_2o	0.0	0.0	0.0	0.0	0.013	0.002	0.002	0.002	0.002	0.18
R0252TS208_1o__R0252TS462_3o	0.002	0.0	0.0	0.0	0.046	0.004	0.004	0.001	0.001	0.086
R0252TS208_3o__R0252TS294_1o	0.0	0.0	0.0	0.0	0.054	0.003	0.003	0.001	0.001	0.103
R0252TS208_3o__R0252TS450_5o	0.0	0.0	0.0	0.0	0.012	0.001	0.001	0.0	0.0	0.121
R0252TS208_4o__R0252TS208_1o	0.002	0.0	0.0	0.0	0.115	0.005	0.005	0.005	0.005	0.288
R0252TS208_5o__R0252TS450_4o	0.002	0.003	0.005	0.005	0.071	0.005	0.006	0.002	0.002	0.192
R0252TS262_1o__R0252TS028_5o	0.007	0.011	0.019	0.008	0.101	0.027	0.027	0.005	0.004	0.126
R0252TS262_1o__R0252TS167_1o	0.0	0.0	0.0	0.0	0.108	0.002	0.003	0.002	0.003	0.255
R0252TS262_1o__R0252TS167_4o	0.0	0.0	0.0	0.0	0.005	0.002	0.002	0.001	0.0	0.16
R0252TS262_1o__R0252TS167_5o	0.0	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.0	0.098
R0252TS262_3o__R0252TS028_4o	0.008	0.0	0.001	0.003	0.141	0.004	0.004	0.001	0.002	0.116
R0252TS262_3o__R0252TS450_1o	0.0	0.0	0.0	0.0	0.108	0.002	0.003	0.002	0.003	0.255
R0252TS262_5o__R0252TS110_1o	0.003	0.0	0.0	0.0	0.069	0.003	0.003	0.001	0.0	0.077
R0252TS262_5o__R0252TS294_5o	0.0	0.0	0.0	0.0	0.029	0.0	0.0	0.0	0.0	0.109
R0252TS262_5o__R0252TS450_1o	0.0	0.0	0.0	0.0	0.108	0.002	0.003	0.002	0.003	0.255
R0252TS262_5o__R0252TS462_3o	0.003	0.0	0.0	0.0	0.069	0.003	0.003	0.001	0.0	0.077
R0252TS262_5o__R0252TS462_5o	0.005	0.013	0.03	0.003	0.056	0.015	0.015	0.003	0.002	0.111
R0252TS294_1o__R0252TS110_4o	0.034	0.009	0.009	0.065	0.217	0.041	0.041	0.041	0.041	0.208
R0252TS294_1o__R0252TS208_5o	0.005	0.0	0.0	0.0	0.144	0.004	0.004	0.004	0.004	0.183
R0252TS294_3o__R0252TS028_5o	0.181	0.087	0.087	0.13	0.194	0.089	0.089	0.089	0.089	0.22
R0252TS294_3o__R0252TS462_2o	0.265	0.444	0.444	0.543	0.592	0.176	0.176	0.176	0.176	0.265
R0252TS294_5o__R0252TS110_3o	0.088	0.044	0.044	0.1	0.216	0.084	0.084	0.084	0.084	0.209
R0252TS450_1o__R0252TS262_3o	0.001	0.0	0.0	0.0	0.108	0.004	0.004	0.004	0.004	0.251
R0252TS450_2o__R0252TS110_5o	0.041	0.033	0.059	0.073	0.171	0.108	0.108	0.027	0.028	0.071
R0252TS450_2o__R0252TS167_5o	0.0	0.0	0.0	0.0	0.013	0.002	0.002	0.0	0.0	0.097
R0252TS450_2o__R0252TS262_2o	0.04	0.022	0.04	0.061	0.184	0.097	0.097	0.024	0.025	0.091
R0252TS450_2o__R0252TS262_3o	0.013	0.0	0.0	0.006	0.154	0.011	0.011	0.011	0.011	0.519
R0252TS450_3o__R0252TS167_5o	0.0	0.0	0.0	0.0	0.0	0.001	0.001	0.0	0.0	0.104
R0252TS450_3o__R0252TS462_3o	0.175	0.048	0.059	0.163	0.246	0.09	0.09	0.022	0.071	0.092
R0252TS450_4o__R0252TS028_1o	0.008	0.0	0.0	0.0	0.057	0.003	0.003	0.001	0.001	0.125
R0252TS450_4o__R0252TS262_4o	0.011	0.003	0.004	0.003	0.055	0.012	0.012	0.004	0.004	0.112
R0252TS450_4o__R0252TS450_1o	0.0	0.0	0.0	0.0	0.056	0.002	0.002	0.002	0.002	0.211
R0252TS450_4o__R0252TS450_5o	0.0	0.0	0.0	0.0	0.013	0.001	0.001	0.0	0.0	0.12
R0252TS450_4o__R0252TS462_5o	0.005	0.0	0.001	0.005	0.05	0.011	0.011	0.004	0.003	0.124
R0252TS450_5o__R0252TS450_4o	0.0	0.0	0.0	0.0	0.013	0.002	0.002	0.002	0.002	0.164
R0252TS462_3o__R0252TS028_3o	0.279	0.085	0.085	0.45	0.552	0.137	0.137	0.137	0.137	0.192
R0252TS462_3o__R0252TS208_5o	0.002	0.0	0.0	0.0	0.117	0.003	0.003	0.003	0.003	0.185
R0252TS462_3o__R0252TS262_2o	0.391	0.139	0.139	0.486	0.629	0.173	0.173	0.173	0.173	0.223
R0252TS462_4o__R0252TS028_3o	0.279	0.137	0.137	0.482	0.517	0.164	0.164	0.164	0.164	0.158
R0252TS462_4o__R0252TS110_5o	0.293	0.097	0.097	0.442	0.502	0.158	0.158	0.158	0.158	0.142
R0252TS462_4o__R0252TS167_3o	0.088	0.049	0.06	0.176	0.238	0.056	0.056	0.056	0.056	0.188
R0252TS462_4o__R0252TS208_3o	0.0	0.0	0.0	0.0	0.069	0.004	0.004	0.004	0.004	0.135
R0252TS462_4o__R0252TS462_2o	0.057	0.121	0.121	0.168	0.134	0.039	0.039	0.039	0.039	0.181
R0252TS462_5o__R0252TS167_5o	0.0	0.0	0.0	0.0	0.016	0.001	0.001	0.001	0.001	0.166
R0252TS462_5o__R0252TS262_4o	0.371	0.167	0.167	0.351	0.404	0.187	0.187	0.187	0.187	0.175
R0252TS462_5o__R0252TS462_3o	0.301	0.093	0.093	0.267	0.397	0.143	0.143	0.143	0.143	0.206
R0253TS028_1o__R0253TS450_3o	0.034	0.044	0.081	0.096	0.174	0.042	0.042	0.042	0.042	0.196
R0253TS028_2o__R0253TS167_4o	0.019	0.029	0.037	0.033	0.043	0.011	0.011	0.011	0.011	0.202
R0253TS028_2o__R0253TS208_3o	0.0	0.0	0.0	0.0	0.003	0.002	0.002	0.002	0.002	0.16
R0253TS028_2o__R0253TS450_2o	0.0	0.0	0.0	0.0	0.007	0.002	0.002	0.002	0.002	0.153
R0253TS028_3o__R0253TS028_4o	0.047	0.08	0.08	0.15	0.127	0.04	0.04	0.04	0.04	0.211
R0253TS028_3o__R0253TS208_4o	0.003	0.0	0.0	0.0	0.032	0.002	0.002	0.002	0.002	0.196
R0253TS028_3o__R0253TS262_5o	0.012	0.006	0.007	0.013	0.08	0.005	0.005	0.005	0.005	0.192
R0253TS028_4o__R0253TS167_3o	0.0	0.0	0.0	0.0	0.0	0.002	0.002	0.002	0.002	0.163
R0253TS028_4o__R0253TS208_1o	0.0	0.0	0.0	0.0	0.0	0.004	0.004	0.004	0.004	0.177
R0253TS028_4o__R0253TS294_5o	0.016	0.027	0.042	0.032	0.091	0.013	0.013	0.013	0.013	0.165
R0253TS028_5o__R0253TS028_4o	0.083	0.207	0.207	0.345	0.216	0.12	0.12	0.12	0.12	0.291
R0253TS110_1o__R0253TS110_5o	0.104	0.049	0.049	0.113	0.196	0.118	0.118	0.118	0.118	0.27
R0253TS110_1o__R0253TS262_2o	0.154	0.16	0.16	0.291	0.469	0.114	0.114	0.114	0.114	0.275
R0253TS110_2o__R0253TS028_3o	0.069	0.13	0.13	0.186	0.35	0.074	0.074	0.074	0.074	0.383
R0253TS110_2o__R0253TS294_5o	0.021	0.002	0.003	0.037	0.167	0.015	0.015	0.015	0.015	0.183
R0253TS110_2o__R0253TS462_2o	0.058	0.084	0.084	0.15	0.228	0.035	0.035	0.035	0.035	0.244
R0253TS110_3o__R0253TS110_2o	0.106	0.075	0.075	0.16	0.197	0.103	0.103	0.103	0.103	0.319
R0253TS110_3o__R0253TS462_4o	0.081	0.139	0.139	0.256	0.26	0.091	0.091	0.091	0.091	0.302
R0253TS110_3o__R0253TS462_5o	0.106	0.075	0.075	0.16	0.197	0.103	0.103	0.103	0.103	0.319
R0253TS110_5o__R0253TS028_4o	0.062	0.078	0.078	0.137	0.106	0.034	0.034	0.034	0.034	0.224
R0253TS167_1o__R0253TS208_4o	0.001	0.0	0.0	0.0	0.063	0.007	0.007	0.007	0.007	0.211
R0253TS167_1o__R0253TS450_3o	0.0	0.0	0.0	0.0	0.003	0.003	0.003	0.002	0.001	0.132
R0253TS167_2o__R0253TS262_4o	0.0	0.0	0.0	0.0	0.0	0.004	0.004	0.001	0.001	0.1
R0253TS167_3o__R0253TS167_4o	0.0	0.0	0.0	0.0	0.029	0.002	0.002	0.001	0.001	0.107
R0253TS167_4o__R0253TS028_4o	0.0	0.0	0.0	0.0	0.009	0.003	0.003	0.001	0.001	0.084
R0253TS167_4o__R0253TS262_4o	0.0	0.0	0.0	0.0	0.0	0.002	0.002	0.001	0.0	0.12
R0253TS167_5o__R0253TS208_2o	0.035	0.02	0.03	0.018	0.071	0.011	0.011	0.011	0.011	0.21
R0253TS167_5o__R0253TS262_4o	0.025	0.037	0.069	0.092	0.212	0.069	0.069	0.023	0.026	0.19
R0253TS167_5o__R0253TS450_2o	0.0	0.0	0.0	0.0	0.006	0.003	0.003	0.003	0.003	0.165
R0253TS167_5o__R0253TS462_2o	0.037	0.063	0.13	0.141	0.21	0.095	0.095	0.032	0.036	0.143
R0253TS208_1o__R0253TS110_1o	0.0	0.0	0.0	0.0	0.011	0.002	0.002	0.0	0.0	0.093
R0253TS208_1o__R0253TS262_1o	0.0	0.0	0.0	0.0	0.09	0.002	0.002	0.002	0.002	0.195
R0253TS208_1o__R0253TS462_2o	0.0	0.0	0.0	0.0	0.011	0.002	0.002	0.0	0.0	0.093
R0253TS208_2o__R0253TS450_2o	0.077	0.223	0.223	0.224	0.249	0.08	0.081	0.08	0.081	0.581
R0253TS208_3o__R0253TS462_1o	0.0	0.0	0.0	0.0	0.0	0.002	0.002	0.0	0.001	0.074
R0253TS208_4o__R0253TS167_2o	0.002	0.0	0.0	0.0	0.052	0.005	0.004	0.005	0.004	0.252
