model	rmsd
model_3g2n_455.cif	6.67
model_3g2n_461.cif	6.63
model_3g2n_462.cif	6.55
model_3g2n_475.cif	2.21
model_3g2n_479.cif	6.69
model_3g2n_481.cif	2.34
model_3g2n_489.cif	6.69
model_3g2n_49.cif	0.48
model_3g2n_491.cif	1.60
model_3g2n_495.cif	2.07
model_3g2n_499.cif	6.62
model_3g2n_506.cif	1.93
model_3g2n_515.cif	2.75
model_3g2n_524.cif	3.60
model_3g2n_546.cif	2.93
model_3g2n_547.cif	3.10
model_3g2n_55.cif	0.78
model_3g2n_556.cif	1.97
model_3g2n_563.cif	3.04
model_3g2n_574.cif	2.32
model_3g2n_576.cif	3.09
model_3g2n_582.cif	4.34
model_3g2n_588.cif	3.02
model_3g2n_599.cif	7.11
model_3g2n_630.cif	4.35
model_3g2n_640.cif	3.95
model_3g2n_642.cif	9.15
model_3g2n_645.cif	7.12
model_3g2n_647.cif	4.17
model_3g2n_656.cif	2.41
model_3g2n_658.cif	3.05
model_3g2n_666.cif	6.54
model_3g2n_674.cif	4.75
model_3g2n_675.cif	8.16
model_3g2n_676.cif	7.38
model_3g2n_677.cif	2.85
model_3g2n_678.cif	1.80
model_3g2n_681.cif	3.68
model_3g2n_682.cif	3.23
model_3g2n_695.cif	6.73
model_3g2n_77.cif	1.88
model_3g2n_772.cif	7.30
model_3g2n_773.cif	7.28
model_3g2n_774.cif	7.27
model_3g2n_775.cif	7.28
model_3g2n_81.cif	1.75
model_3g2n_870.cif	1.76
model_3g2n_922.cif	0.96
model_3g2n_93.cif	2.30
model_3g2n_967.cif	0.52
model_3g2n_97.cif	0.38
model_3g2n_ligand.cif	0.00
model_3g2z_132.cif	2.47
model_3g2z_152.cif	3.67
model_3g2z_166.cif	2.93
model_3g2z_189.cif	5.16
model_3g2z_194.cif	4.01
model_3g2z_332.cif	5.73
model_3g2z_42.cif	5.01
model_3g2z_443.cif	3.78
model_3g2z_490.cif	4.49
model_3g2z_506.cif	3.87
model_3g2z_517.cif	4.10
model_3g2z_525.cif	2.99
model_3g2z_526.cif	3.82
model_3g2z_528.cif	4.22
model_3g2z_534.cif	4.53
model_3g2z_535.cif	4.28
model_3g2z_559.cif	2.61
model_3g2z_568.cif	3.79
model_3g2z_569.cif	3.92
model_3g2z_578.cif	3.92
model_3g2z_587.cif	2.66
model_3g2z_588.cif	4.95
model_3g2z_603.cif	2.78
model_3g2z_610.cif	5.27
model_3g2z_616.cif	5.20
model_3g2z_626.cif	4.31
model_3g2z_631.cif	3.16
model_3g2z_632.cif	3.92
model_3g2z_656.cif	4.35
model_3g2z_663.cif	2.45
model_3g2z_668.cif	3.37
model_3g2z_683.cif	4.11
model_3g2z_687.cif	2.66
model_3g2z_706.cif	5.45
model_3g2z_745.cif	7.15
model_3g2z_748.cif	5.82
model_3g2z_755.cif	5.18
model_3g2z_763.cif	2.65
model_3g2z_776.cif	5.76
model_3g2z_779.cif	5.62
model_3g2z_790.cif	2.45
model_3g2z_792.cif	6.01
model_3g2z_818.cif	6.61
model_3g2z_909.cif	6.77
model_3g2z_915.cif	7.03
model_3g2z_933.cif	6.62
model_3g2z_940.cif	7.81
model_3g2z_975.cif	6.93
model_3g2z_1001.cif	1.71
model_3g2z_1002.cif	1.88
model_3g2z_1003.cif	1.70
model_3g2z_1004.cif	1.18
model_3g2z_1005.cif	1.01
model_3g2z_1006.cif	1.55
model_3g2z_1007.cif	1.65
model_3g2z_1008.cif	1.26
model_3g2z_1009.cif	1.96
model_3g2z_1010.cif	1.98
model_3g2z_1011.cif	0.97
model_3g2z_1012.cif	0.93
model_3g2z_ligand.cif	0.00
model_3g31_107.cif	1.43
model_3g31_109.cif	0.92
model_3g31_136.cif	2.89
model_3g31_210.cif	3.40
model_3g31_218.cif	4.07
model_3g31_246.cif	3.60
model_3g31_288.cif	4.12
model_3g31_339.cif	2.48
model_3g31_36.cif	1.78
model_3g31_362.cif	0.98
model_3g31_392.cif	1.84
model_3g31_402.cif	2.26
model_3g31_405.cif	2.07
model_3g31_413.cif	6.18
model_3g31_416.cif	6.05
model_3g31_437.cif	6.38
model_3g31_442.cif	3.06
model_3g31_447.cif	3.19
model_3g31_448.cif	2.21
model_3g31_457.cif	5.85
model_3g31_461.cif	6.91
model_3g31_469.cif	6.38
model_3g31_472.cif	4.65
model_3g31_473.cif	7.02
model_3g31_474.cif	4.49
model_3g31_475.cif	5.69
model_3g31_478.cif	5.57
model_3g31_488.cif	5.46
model_3g31_496.cif	4.56
model_3g31_498.cif	5.81
model_3g31_499.cif	2.33
model_3g31_512.cif	1.70
model_3g31_526.cif	6.33
model_3g31_531.cif	1.87
model_3g31_532.cif	8.02
model_3g31_534.cif	1.91
model_3g31_535.cif	4.11
model_3g31_537.cif	4.70
model_3g31_556.cif	1.94
model_3g31_571.cif	6.42
model_3g31_580.cif	6.41
model_3g31_581.cif	3.92
model_3g31_582.cif	3.75
model_3g31_584.cif	6.38
model_3g31_585.cif	8.04
model_3g31_588.cif	8.50
model_3g31_596.cif	1.96
model_3g31_644.cif	4.89
model_3g31_648.cif	2.92
model_3g31_652.cif	5.76
model_3g31_653.cif	3.87
model_3g31_659.cif	5.39
model_3g31_663.cif	5.21
model_3g31_670.cif	3.46
model_3g31_673.cif	3.00
model_3g31_687.cif	7.52
model_3g31_692.cif	2.81
model_3g31_693.cif	3.57
model_3g31_697.cif	4.83
model_3g31_699.cif	5.87
model_3g31_700.cif	6.95
model_3g31_740.cif	3.34
model_3g31_781.cif	2.03
model_3g31_785.cif	5.33
model_3g31_786.cif	2.00
model_3g31_791.cif	1.40
model_3g31_802.cif	4.61
model_3g31_ligand.cif	0.00
model_3gbb_213.cif	0.41
model_3gbb_278.cif	0.55
model_3gbb_304.cif	0.70
model_3gbb_317.cif	0.43
model_3gbb_405.cif	0.78
model_3gbb_407.cif	0.84
model_3gbb_418.cif	3.97
model_3gbb_421.cif	4.13
model_3gbb_427.cif	0.86
model_3gbb_445.cif	1.17
model_3gbb_449.cif	0.99
model_3gbb_458.cif	2.12
model_3gbb_460.cif	1.65
model_3gbb_468.cif	1.53
model_3gbb_473.cif	0.93
model_3gbb_482.cif	2.36
model_3gbb_483.cif	1.71
model_3gbb_489.cif	4.02
model_3gbb_498.cif	3.05
model_3gbb_503.cif	1.27
model_3gbb_509.cif	2.77
model_3gbb_510.cif	2.29
model_3gbb_512.cif	3.12
model_3gbb_523.cif	1.14
model_3gbb_559.cif	2.96
model_3gbb_564.cif	1.98
model_3gbb_596.cif	1.50
model_3gbb_616.cif	4.30
model_3gbb_619.cif	2.57
model_3gbb_621.cif	3.91
model_3gbb_625.cif	3.94
model_3gbb_627.cif	2.40
model_3gbb_646.cif	3.73
model_3gbb_648.cif	3.98
model_3gbb_650.cif	2.45
model_3gbb_655.cif	2.18
model_3gbb_666.cif	3.96
model_3gbb_673.cif	4.02
model_3gbb_678.cif	5.52
model_3gbb_683.cif	1.87
model_3gbb_693.cif	4.02
model_3gbb_697.cif	3.10
model_3gbb_715.cif	1.41
model_3gbb_717.cif	2.71
model_3gbb_728.cif	4.01
model_3gbb_781.cif	3.08
model_3gbb_783.cif	4.11
model_3gbb_796.cif	4.04
model_3gbb_814.cif	0.82
model_3gbb_845.cif	4.25
model_3gbb_893.cif	4.37
model_3gbb_ligand.cif	0.00
model_3gc5_402.cif	0.72
model_3gc5_403.cif	0.76
model_3gc5_406.cif	0.97
model_3gc5_408.cif	2.06
model_3gc5_426.cif	0.97
model_3gc5_427.cif	3.35
model_3gc5_428.cif	5.14
model_3gc5_436.cif	1.41
model_3gc5_446.cif	3.63
model_3gc5_451.cif	3.28
model_3gc5_457.cif	2.23
model_3gc5_460.cif	3.44
model_3gc5_461.cif	4.20
model_3gc5_463.cif	2.42
model_3gc5_464.cif	0.92
model_3gc5_467.cif	2.01
model_3gc5_471.cif	3.67
model_3gc5_475.cif	3.02
model_3gc5_492.cif	3.33
model_3gc5_495.cif	5.07
model_3gc5_500.cif	5.23
model_3gc5_507.cif	4.50
model_3gc5_516.cif	4.26
model_3gc5_518.cif	6.18
model_3gc5_524.cif	0.91
model_3gc5_532.cif	5.52
model_3gc5_536.cif	4.64
model_3gc5_551.cif	5.70
model_3gc5_556.cif	3.77
model_3gc5_559.cif	1.83
model_3gc5_563.cif	6.85
model_3gc5_565.cif	5.73
model_3gc5_566.cif	4.83
model_3gc5_567.cif	1.39
model_3gc5_574.cif	4.52
model_3gc5_577.cif	1.19
model_3gc5_580.cif	3.64
model_3gc5_582.cif	6.60
model_3gc5_585.cif	6.53
model_3gc5_589.cif	5.67
model_3gc5_603.cif	0.77
model_3gc5_604.cif	1.46
model_3gc5_605.cif	1.05
model_3gc5_606.cif	0.80
model_3gc5_607.cif	1.97
model_3gc5_617.cif	1.99
model_3gc5_627.cif	4.49
model_3gc5_631.cif	1.92
model_3gc5_632.cif	2.76
model_3gc5_636.cif	2.99
model_3gc5_638.cif	4.29
model_3gc5_646.cif	4.71
model_3gc5_647.cif	0.88
model_3gc5_657.cif	4.87
model_3gc5_662.cif	2.64
model_3gc5_663.cif	2.59
model_3gc5_679.cif	5.17
model_3gc5_682.cif	5.27
model_3gc5_691.cif	1.61
model_3gc5_696.cif	5.64
model_3gc5_715.cif	0.93
model_3gc5_733.cif	6.80
model_3gc5_739.cif	7.14
model_3gc5_749.cif	7.54
model_3gc5_752.cif	7.49
model_3gc5_755.cif	3.00
model_3gc5_757.cif	6.53
model_3gc5_758.cif	6.58
model_3gc5_759.cif	7.52
model_3gc5_764.cif	7.46
model_3gc5_770.cif	8.01
model_3gc5_772.cif	8.10
model_3gc5_773.cif	7.31
model_3gc5_775.cif	7.00
model_3gc5_776.cif	7.03
model_3gc5_777.cif	7.83
model_3gc5_778.cif	7.75
model_3gc5_779.cif	7.70
model_3gc5_780.cif	8.02
model_3gc5_783.cif	6.91
model_3gc5_784.cif	6.78
model_3gc5_822.cif	2.10
model_3gc5_878.cif	9.21
model_3gc5_879.cif	9.23
model_3gc5_973.cif	3.07
model_3gc5_ligand.cif	0.00
model_3ge7_11.cif	4.83
model_3ge7_140.cif	0.61
model_3ge7_191.cif	0.68
model_3ge7_24.cif	0.78
model_3ge7_262.cif	0.89
model_3ge7_324.cif	3.03
model_3ge7_404.cif	5.81
model_3ge7_411.cif	5.36
model_3ge7_415.cif	1.89
model_3ge7_424.cif	5.97
model_3ge7_426.cif	2.84
model_3ge7_431.cif	1.39
model_3ge7_443.cif	1.69
model_3ge7_448.cif	6.62
model_3ge7_451.cif	5.53
model_3ge7_456.cif	2.24
model_3ge7_460.cif	3.99
model_3ge7_465.cif	2.34
model_3ge7_469.cif	3.57
model_3ge7_470.cif	2.55
model_3ge7_480.cif	3.48
model_3ge7_485.cif	1.65
model_3ge7_488.cif	1.70
model_3ge7_490.cif	5.84
model_3ge7_491.cif	1.56
model_3ge7_498.cif	6.31
model_3ge7_523.cif	4.94
model_3ge7_533.cif	3.98
model_3ge7_536.cif	4.03
model_3ge7_547.cif	4.41
model_3ge7_552.cif	4.38
model_3ge7_556.cif	6.48
model_3ge7_561.cif	4.01
model_3ge7_562.cif	6.52
model_3ge7_567.cif	2.82
model_3ge7_571.cif	7.37
model_3ge7_572.cif	3.60
model_3ge7_573.cif	6.74
model_3ge7_574.cif	4.19
model_3ge7_579.cif	1.79
model_3ge7_582.cif	6.03
model_3ge7_583.cif	5.48
model_3ge7_587.cif	3.05
model_3ge7_589.cif	6.36
model_3ge7_590.cif	6.78
model_3ge7_594.cif	7.07
model_3ge7_598.cif	5.91
model_3ge7_599.cif	5.77
model_3ge7_600.cif	7.65
model_3ge7_637.cif	4.50
model_3ge7_638.cif	4.21
model_3ge7_641.cif	2.76
model_3ge7_644.cif	1.72
model_3ge7_651.cif	2.06
model_3ge7_655.cif	5.68
model_3ge7_658.cif	4.50
model_3ge7_659.cif	3.34
model_3ge7_666.cif	3.67
model_3ge7_667.cif	6.63
model_3ge7_674.cif	7.00
model_3ge7_676.cif	2.84
model_3ge7_683.cif	2.74
model_3ge7_684.cif	2.27
model_3ge7_685.cif	5.98
model_3ge7_688.cif	2.86
model_3ge7_717.cif	0.78
model_3ge7_718.cif	1.00
model_3ge7_791.cif	1.30
model_3ge7_794.cif	1.03
model_3ge7_795.cif	0.99
model_3ge7_824.cif	0.33
model_3ge7_895.cif	0.91
model_3ge7_898.cif	0.69
model_3ge7_ligand.cif	0.00
model_3gnw_134.cif	3.55
model_3gnw_136.cif	4.15
model_3gnw_155.cif	5.15
model_3gnw_179.cif	6.01
model_3gnw_201.cif	4.90
model_3gnw_205.cif	7.08
model_3gnw_216.cif	5.35
model_3gnw_218.cif	5.75
model_3gnw_219.cif	9.69
model_3gnw_220.cif	7.90
model_3gnw_225.cif	9.16
model_3gnw_226.cif	9.99
model_3gnw_236.cif	4.99
model_3gnw_241.cif	7.39
model_3gnw_254.cif	1.25
model_3gnw_259.cif	5.40
model_3gnw_261.cif	6.37
model_3gnw_266.cif	8.06
model_3gnw_271.cif	5.25
model_3gnw_273.cif	9.07
model_3gnw_276.cif	4.83
model_3gnw_277.cif	8.85
model_3gnw_278.cif	5.32
model_3gnw_279.cif	9.43
model_3gnw_284.cif	9.65
model_3gnw_294.cif	0.71
model_3gnw_299.cif	8.11
model_3gnw_302.cif	2.35
model_3gnw_310.cif	9.62
model_3gnw_315.cif	2.19
model_3gnw_316.cif	7.21
model_3gnw_322.cif	6.74
model_3gnw_323.cif	6.03
model_3gnw_325.cif	5.33
model_3gnw_335.cif	8.13
model_3gnw_337.cif	6.90
model_3gnw_343.cif	8.19
model_3gnw_381.cif	6.49
model_3gnw_387.cif	6.60
model_3gnw_402.cif	3.65
model_3gnw_41.cif	4.94
model_3gnw_411.cif	3.97
model_3gnw_417.cif	4.55
model_3gnw_423.cif	4.08
model_3gnw_440.cif	3.94
model_3gnw_448.cif	2.94
model_3gnw_463.cif	4.71
model_3gnw_49.cif	6.21
model_3gnw_493.cif	2.98
model_3gnw_498.cif	5.17
model_3gnw_516.cif	2.93
model_3gnw_527.cif	4.89
model_3gnw_535.cif	8.13
model_3gnw_545.cif	7.97
model_3gnw_549.cif	8.45
model_3gnw_552.cif	7.72
model_3gnw_555.cif	3.87
model_3gnw_569.cif	9.68
model_3gnw_580.cif	6.28
model_3gnw_581.cif	9.79
model_3gnw_586.cif	8.26
model_3gnw_587.cif	3.68
model_3gnw_597.cif	8.43
model_3gnw_634.cif	3.51
model_3gnw_636.cif	7.32
model_3gnw_639.cif	8.53
model_3gnw_649.cif	5.70
model_3gnw_659.cif	9.97
model_3gnw_662.cif	5.69
model_3gnw_667.cif	7.24
model_3gnw_668.cif	6.04
model_3gnw_694.cif	7.65
model_3gnw_700.cif	7.80
model_3gnw_708.cif	0.71
model_3gnw_712.cif	0.63
model_3gnw_714.cif	0.91
model_3gnw_718.cif	0.96
model_3gnw_722.cif	1.53
model_3gnw_729.cif	2.21
model_3gnw_745.cif	2.75
model_3gnw_779.cif	2.45
model_3gnw_802.cif	0.70
model_3gnw_842.cif	1.28
model_3gnw_847.cif	1.84
model_3gnw_848.cif	1.26
model_3gnw_857.cif	1.38
model_3gnw_867.cif	1.19
model_3gnw_868.cif	3.52
model_3gnw_87.cif	1.44
model_3gnw_873.cif	3.17
model_3gnw_876.cif	2.86
model_3gnw_877.cif	1.72
model_3gnw_939.cif	1.43
model_3gnw_94.cif	3.96
model_3gnw_95.cif	4.31
model_3gnw_950.cif	0.79
model_3gnw_959.cif	2.54
model_3gnw_961.cif	0.81
model_3gnw_965.cif	0.71
model_3gnw_982.cif	0.85
model_3gnw_ligand.cif	0.00
model_3gr2_102.cif	8.60
model_3gr2_118.cif	8.07
model_3gr2_12.cif	4.92
model_3gr2_122.cif	5.42
model_3gr2_132.cif	7.32
model_3gr2_151.cif	7.87
model_3gr2_186.cif	8.05
model_3gr2_187.cif	8.31
model_3gr2_205.cif	3.99
model_3gr2_220.cif	4.35
model_3gr2_226.cif	8.26
model_3gr2_239.cif	5.73
model_3gr2_254.cif	6.94
model_3gr2_262.cif	2.40
model_3gr2_277.cif	5.21
model_3gr2_279.cif	7.04
model_3gr2_337.cif	1.94
model_3gr2_409.cif	1.94
model_3gr2_410.cif	1.30
model_3gr2_415.cif	5.58
model_3gr2_421.cif	6.67
model_3gr2_424.cif	1.68
model_3gr2_446.cif	2.42
model_3gr2_449.cif	2.70
model_3gr2_451.cif	2.28
model_3gr2_458.cif	1.84
model_3gr2_460.cif	2.94
model_3gr2_466.cif	3.55
model_3gr2_474.cif	1.22
model_3gr2_476.cif	1.57
model_3gr2_493.cif	2.75
model_3gr2_526.cif	7.22
model_3gr2_540.cif	6.59
model_3gr2_541.cif	6.19
model_3gr2_545.cif	2.14
model_3gr2_560.cif	5.13
model_3gr2_568.cif	7.09
model_3gr2_580.cif	4.14
model_3gr2_581.cif	6.40
model_3gr2_585.cif	5.02
model_3gr2_592.cif	4.58
model_3gr2_624.cif	7.14
model_3gr2_663.cif	6.66
model_3gr2_665.cif	7.35
model_3gr2_669.cif	6.54
model_3gr2_684.cif	4.06
model_3gr2_686.cif	6.56
model_3gr2_701.cif	1.32
model_3gr2_717.cif	4.00
model_3gr2_722.cif	5.86
model_3gr2_732.cif	3.93
model_3gr2_735.cif	4.07
model_3gr2_737.cif	4.15
model_3gr2_738.cif	3.97
model_3gr2_742.cif	8.67
model_3gr2_743.cif	8.51
model_3gr2_745.cif	3.52
model_3gr2_747.cif	6.70
model_3gr2_756.cif	4.59
model_3gr2_758.cif	7.43
model_3gr2_761.cif	3.70
model_3gr2_762.cif	8.09
model_3gr2_764.cif	2.95
model_3gr2_765.cif	3.99
model_3gr2_766.cif	5.66
model_3gr2_771.cif	5.68
model_3gr2_776.cif	4.02
model_3gr2_779.cif	7.66
model_3gr2_783.cif	8.44
model_3gr2_786.cif	7.32
model_3gr2_820.cif	2.59
model_3gr2_835.cif	1.92
model_3gr2_841.cif	6.29
model_3gr2_853.cif	4.00
model_3gr2_858.cif	4.68
model_3gr2_867.cif	3.79
model_3gr2_872.cif	2.26
model_3gr2_879.cif	5.03
model_3gr2_973.cif	1.50
model_3gr2_978.cif	8.56
model_3gr2_ligand.cif	0.00
model_3gv9_102.cif	4.01
model_3gv9_124.cif	1.21
model_3gv9_227.cif	9.32
model_3gv9_24.cif	6.58
model_3gv9_242.cif	9.02
model_3gv9_247.cif	8.64
model_3gv9_256.cif	9.14
model_3gv9_258.cif	2.99
model_3gv9_259.cif	9.34
model_3gv9_263.cif	9.63
model_3gv9_266.cif	9.19
model_3gv9_277.cif	8.22
model_3gv9_281.cif	9.38
model_3gv9_285.cif	9.75
model_3gv9_293.cif	9.07
model_3gv9_298.cif	9.63
model_3gv9_30.cif	0.64
model_3gv9_300.cif	8.68
model_3gv9_304.cif	3.84
model_3gv9_305.cif	8.30
model_3gv9_306.cif	7.29
model_3gv9_307.cif	8.56
model_3gv9_312.cif	7.48
model_3gv9_315.cif	8.71
model_3gv9_318.cif	8.47
model_3gv9_324.cif	2.34
model_3gv9_328.cif	7.56
model_3gv9_335.cif	7.97
model_3gv9_340.cif	7.49
model_3gv9_350.cif	3.31
model_3gv9_355.cif	7.66
model_3gv9_370.cif	0.84
model_3gv9_379.cif	8.98
model_3gv9_385.cif	8.47
model_3gv9_397.cif	7.69
model_3gv9_398.cif	8.32
model_3gv9_399.cif	7.50
model_3gv9_407.cif	2.49
model_3gv9_432.cif	3.20
model_3gv9_453.cif	6.04
model_3gv9_462.cif	0.92
model_3gv9_467.cif	6.39
model_3gv9_47.cif	0.75
model_3gv9_479.cif	6.31
model_3gv9_480.cif	3.93
model_3gv9_489.cif	2.97
model_3gv9_491.cif	0.92
model_3gv9_505.cif	5.17
model_3gv9_509.cif	2.47
model_3gv9_537.cif	2.04
model_3gv9_540.cif	3.64
model_3gv9_545.cif	4.83
model_3gv9_556.cif	5.90
model_3gv9_559.cif	4.17
model_3gv9_561.cif	5.70
model_3gv9_563.cif	4.60
model_3gv9_564.cif	6.62
model_3gv9_565.cif	4.82
model_3gv9_579.cif	1.80
model_3gv9_59.cif	0.59
model_3gv9_592.cif	6.21
model_3gv9_6.cif	0.60
model_3gv9_604.cif	5.68
model_3gv9_605.cif	5.20
model_3gv9_62.cif	2.46
model_3gv9_623.cif	5.07
model_3gv9_626.cif	1.98
model_3gv9_630.cif	4.46
model_3gv9_639.cif	1.33
model_3gv9_642.cif	4.60
model_3gv9_658.cif	3.24
model_3gv9_660.cif	2.01
model_3gv9_661.cif	3.94
model_3gv9_670.cif	3.92
model_3gv9_674.cif	4.38
model_3gv9_685.cif	5.15
model_3gv9_688.cif	5.90
model_3gv9_697.cif	1.17
model_3gv9_7.cif	0.59
model_3gv9_700.cif	4.61
model_3gv9_756.cif	2.87
model_3gv9_759.cif	5.05
model_3gv9_76.cif	1.26
model_3gv9_760.cif	2.36
model_3gv9_761.cif	1.23
model_3gv9_765.cif	6.80
model_3gv9_767.cif	7.39
model_3gv9_786.cif	3.28
model_3gv9_810.cif	6.14
model_3gv9_826.cif	1.76
model_3gv9_83.cif	1.02
model_3gv9_835.cif	1.86
model_3gv9_84.cif	0.86
model_3gv9_85.cif	0.70
model_3gv9_858.cif	4.47
model_3gv9_875.cif	5.97
model_3gv9_96.cif	3.81
model_3gv9_98.cif	6.65
model_3gv9_990.cif	6.01
model_3gv9_ligand.cif	0.00
model_3gy4_121.cif	2.80
model_3gy4_14.cif	0.64
model_3gy4_184.cif	0.34
model_3gy4_236.cif	0.63
model_3gy4_251.cif	1.05
model_3gy4_259.cif	2.45
model_3gy4_269.cif	0.62
model_3gy4_284.cif	0.90
model_3gy4_39.cif	0.50
model_3gy4_413.cif	2.58
model_3gy4_415.cif	2.67
model_3gy4_423.cif	3.03
model_3gy4_424.cif	0.81
model_3gy4_430.cif	0.95
model_3gy4_437.cif	1.30
model_3gy4_452.cif	1.58
model_3gy4_460.cif	0.90
model_3gy4_466.cif	2.65
model_3gy4_483.cif	3.07
model_3gy4_496.cif	1.88
model_3gy4_497.cif	1.38
model_3gy4_517.cif	3.16
model_3gy4_525.cif	1.02
model_3gy4_528.cif	4.00
model_3gy4_531.cif	4.05
model_3gy4_54.cif	0.68
model_3gy4_550.cif	4.17
model_3gy4_557.cif	2.77
model_3gy4_561.cif	3.65
model_3gy4_565.cif	1.62
model_3gy4_570.cif	4.14
model_3gy4_573.cif	4.73
model_3gy4_590.cif	3.22
model_3gy4_591.cif	3.46
model_3gy4_593.cif	4.11
model_3gy4_596.cif	2.81
model_3gy4_598.cif	3.09
model_3gy4_599.cif	3.10
model_3gy4_633.cif	2.33
model_3gy4_638.cif	2.56
model_3gy4_643.cif	2.47
model_3gy4_648.cif	1.55
model_3gy4_669.cif	1.32
model_3gy4_685.cif	1.94
model_3gy4_686.cif	3.10
model_3gy4_ligand.cif	0.00
model_3ivg_10.cif	1.58
model_3ivg_107.cif	6.36
model_3ivg_108.cif	5.41
model_3ivg_14.cif	1.66
model_3ivg_150.cif	6.21
model_3ivg_161.cif	6.61
model_3ivg_209.cif	0.97
model_3ivg_218.cif	0.91
model_3ivg_236.cif	2.09
model_3ivg_250.cif	0.82
model_3ivg_252.cif	0.80
model_3ivg_253.cif	1.01
model_3ivg_255.cif	0.83
model_3ivg_262.cif	1.83
model_3ivg_275.cif	0.93
model_3ivg_276.cif	1.05
model_3ivg_291.cif	7.38
model_3ivg_313.cif	4.04
model_3ivg_330.cif	3.90
model_3ivg_40.cif	7.25
model_3ivg_410.cif	3.39
model_3ivg_438.cif	2.24
model_3ivg_44.cif	6.12
model_3ivg_440.cif	2.66
model_3ivg_45.cif	6.90
model_3ivg_471.cif	2.73
model_3ivg_479.cif	3.44
model_3ivg_48.cif	6.21
model_3ivg_483.cif	1.98
model_3ivg_494.cif	5.93
model_3ivg_497.cif	2.00
model_3ivg_518.cif	4.79
model_3ivg_531.cif	5.08
model_3ivg_542.cif	7.02
model_3ivg_545.cif	2.89
model_3ivg_548.cif	3.42
model_3ivg_55.cif	7.59
model_3ivg_550.cif	4.40
model_3ivg_573.cif	5.95
model_3ivg_590.cif	3.12
model_3ivg_60.cif	5.29
model_3ivg_608.cif	4.81
model_3ivg_624.cif	7.38
model_3ivg_635.cif	7.29
model_3ivg_640.cif	6.66
model_3ivg_659.cif	3.67
model_3ivg_699.cif	5.06
model_3ivg_701.cif	3.75
model_3ivg_703.cif	3.70
model_3ivg_705.cif	0.96
model_3ivg_706.cif	0.67
model_3ivg_710.cif	7.52
model_3ivg_713.cif	0.71
model_3ivg_731.cif	2.95
model_3ivg_733.cif	2.26
model_3ivg_753.cif	4.74
model_3ivg_761.cif	2.15
model_3ivg_769.cif	4.78
model_3ivg_770.cif	2.59
model_3ivg_776.cif	7.94
model_3ivg_779.cif	3.35
model_3ivg_788.cif	8.66
model_3ivg_793.cif	6.11
model_3ivg_794.cif	7.31
model_3ivg_80.cif	1.82
model_3ivg_837.cif	2.78
model_3ivg_849.cif	6.53
model_3ivg_860.cif	3.93
model_3ivg_862.cif	4.79
model_3ivg_866.cif	4.83
model_3ivg_899.cif	8.90
model_3ivg_9.cif	1.32
model_3ivg_91.cif	4.30
model_3ivg_915.cif	9.92
model_3ivg_924.cif	6.35
model_3ivg_926.cif	5.05
model_3ivg_940.cif	7.31
model_3ivg_946.cif	5.86
model_3ivg_952.cif	8.85
model_3ivg_954.cif	5.15
model_3ivg_961.cif	8.91
model_3ivg_98.cif	5.90
model_3ivg_983.cif	9.27
model_3ivg_989.cif	4.60
model_3ivg_993.cif	1.16
model_3ivg_ligand.cif	0.00
model_3jvr_137.cif	8.98
model_3jvr_154.cif	9.12
model_3jvr_162.cif	9.09
model_3jvr_168.cif	9.43
model_3jvr_171.cif	9.57
model_3jvr_187.cif	7.35
model_3jvr_195.cif	8.65
model_3jvr_210.cif	7.29
model_3jvr_225.cif	8.48
model_3jvr_229.cif	6.00
model_3jvr_246.cif	7.04
model_3jvr_275.cif	8.97
model_3jvr_290.cif	8.61
model_3jvr_297.cif	8.50
model_3jvr_329.cif	9.54
model_3jvr_330.cif	9.12
model_3jvr_332.cif	9.45
model_3jvr_34.cif	9.18
model_3jvr_349.cif	5.67
model_3jvr_355.cif	6.44
model_3jvr_394.cif	6.85
model_3jvr_404.cif	5.86
model_3jvr_435.cif	6.56
model_3jvr_441.cif	2.62
model_3jvr_444.cif	1.99
model_3jvr_446.cif	2.09
model_3jvr_451.cif	3.78
model_3jvr_452.cif	4.61
model_3jvr_457.cif	7.72
model_3jvr_459.cif	4.23
model_3jvr_464.cif	5.66
model_3jvr_468.cif	5.48
model_3jvr_470.cif	4.09
model_3jvr_471.cif	5.37
model_3jvr_478.cif	1.44
model_3jvr_484.cif	4.51
model_3jvr_486.cif	1.78
model_3jvr_500.cif	4.89
model_3jvr_505.cif	2.29
model_3jvr_509.cif	1.74
model_3jvr_515.cif	2.15
model_3jvr_523.cif	5.12
model_3jvr_550.cif	8.99
model_3jvr_554.cif	5.84
model_3jvr_562.cif	4.65
model_3jvr_567.cif	3.18
model_3jvr_579.cif	5.06
model_3jvr_580.cif	2.06
model_3jvr_589.cif	6.50
model_3jvr_590.cif	4.43
model_3jvr_592.cif	7.65
model_3jvr_596.cif	2.16
model_3jvr_600.cif	6.79
model_3jvr_603.cif	1.31
model_3jvr_604.cif	4.52
model_3jvr_610.cif	6.85
model_3jvr_623.cif	9.58
model_3jvr_627.cif	3.91
model_3jvr_647.cif	2.25
model_3jvr_650.cif	7.43
model_3jvr_662.cif	6.91
model_3jvr_673.cif	1.68
model_3jvr_688.cif	1.76
model_3jvr_689.cif	4.40
model_3jvr_697.cif	7.41
model_3jvr_699.cif	2.07
model_3jvr_703.cif	0.43
model_3jvr_716.cif	0.99
model_3jvr_726.cif	0.85
